sentence1	sentence2	label
universities follow the requirement of job providers and decide subject suitable for particular gender	the current job market affects the decision of universities	low
universities follow the requirement of job providers and decide subject suitable for particular gender	the job selection criteria are pre decided	low
the job selection criteria are pre decided	employers need male candidates for the heavy work such as repairing and installation of heavy machine	high
employers need male candidates for the heavy work such as repairing and installation of heavy machine	they prefer male staff for night shifts	low
employers need male candidates for the heavy work such as repairing and installation of heavy machine	they want female candidates for soft natured work like counseling, teaching, designing etc	high
we must give them opportunity to achieve their goal	our youth has become very confident towards his career	low
we must give them opportunity to achieve their goal	they are not ready to be bound in certain limitations	low
their lives are going to be more difficult, when they are away from home	they will have to pay a lot of bills	low
their lives are going to be more difficult, when they are away from home	they will have to find a lodging or at least a place where to live and in order to have less expenses they will have to find a co-tenant, who they may not like	high
living in their own houses will save the young adults a lot of money	if they live separate from their parents they will have to pay for a loan, electricity, water or even for a meal	high
living in their own houses will save the young adults a lot of money	there will not be such worries when young adults live in their own home	low
there will not be such worries when young adults live in their own home	parents will take care for them	low
another problem that the young adults may encounter is to find a co-tenant, who they do not like	his habits may be totally different from theirs, his behavior may be inappropriate, but they will have to live with him or even share a room, in order to have less expenses	high
another problem that the young adults may encounter is to find a co-tenant, who they do not like	living with such a person may be a huge problem for the young adults	low
another problem that the young adults may encounter is to find a co-tenant, who they do not like	they are most likely to quarrel every day, instead of to help each other	low
if these companies were obliged to pay to clean up the air pollution, they would at least make an effort to reduce the amount of air pollution they cause	while these companies make a huge amount of money from their businesses, most of them are not considering to take precautions to reduce the amount of air pollution	high
by charging private individuals for causing air pollution, that will at least contribute to reduce the amount of the pollution	private individuals cause air pollution in several ways such as inessential use of cars and house heating	high
by charging private individuals for causing air pollution, that will at least contribute to reduce the amount of the pollution	as house heating is a major need in the winter time, some households do not consider to use filters to reduce the amount of pollution that the heating causes	high
the most effective way to convince consumers to purchase a product is through advertising	it is not sufficient in itself	low
it is not sufficient in itself	the product also should satisfy the needs of the consumers	low
advertisers push the limits of creativity to dispose the consumers to purchase the product	we are mainly introduced to products through advertisements	low
advertisers push the limits of creativity to dispose the consumers to purchase the product	when the consumers are impressed by the way a product is advertised, they can be convinced to consider that the product is a need in some cases	low
advertisement is the most effective way to create a well-known product	the more an advertisement of a product takes place in mass media, the more popular the product becomes	low
they make the product preferable	when a product is commonly used, it becomes trustworthy for the society, no matter what quality it is	low
it is a loss of national productivity that young people spend much time on searching for high salary jobs, even can be a sheer time-consuming	labors for graduates are in short supply	low
universities provide not only skills for careers, but also academic knowledge for the human race, such as bio science, politics, and medicine	these academic values are necessary to the progress of the world	low
diverse experiences in the campus life can make the young generation more competently	there are a number of chances through internships, deeper discussion, independent life, and exchange scholarships	high
almost everything that changed our lifestyle a lot will also cause some social problems	speaking loudly on the phone in public areas, such as schools, libraries and hospitals appears to be very impolite and offensive	high
almost everything that changed our lifestyle a lot will also cause some social problems	some students utilize their cell phones as an effective cheating tools in examinations in which they can send and receive answers by texting each other	high
some harmful effects on our health are lethal	it has been proved that overusing of the electronic devices including mobile phones could lead to higher possibility of suffering hearing loss and even cancers, although the further investigation are needed	high
there is panic among people that their conversation can be intercepted by the third party	this possibility exists all the time	low
the mobile phone has become a dispensable multifunctional tools in people's daily life	not only used for communication, but it also functions as an internet browser, a music player, a personal organizer and so forth	high
children who play games too much on computer can seriously lack communicating skills	they will know little about the outside life	low
several teenagers play games without rest, which leads to health depression	a typical example is the death of korean gamer, who had a non-stop playing for 3 days	high
people who are addicted to games, especially online games, can eventually bear dangerous consequences	several teenagers play games without rest, which leads to health depression	high
even people who are not interested in online game can still be negatively affected by using computer too much	some social surveys have shown that a few children use computer for studying purpose, most of them are attracted by facebook, blog, etc. instead	high
some social surveys have shown that a few children use computer for studying purpose, most of them are attracted by facebook, blog, etc. instead	they will have a bad result in school	low
the factory is not isolated, other industries and business will be quickly established, resulting in economic growth of local area	the estate industry will be boosted in order to satisfy the workers' accommodation need	low
it is true that some area are suffering the dire consequences caused by overdeveloping the industry, such as water pollution, overcrowded traffic and medical problems	in some industrial cities, a large proportion of the workers are suffering various breathing problems, such as asthma which can be caused by waste ashes and certain chemical substances	high
not cooking fresh food will also lead to the lack of nutrition	whereas some research has apparently demonstrated that prepared food is unable to support enough nutrients we need, especially for children who are growing up	high
the more prepared food we eat the more cooking skills we lose	at the increasing living pace, the majority of people tend to choose microwave as their unique cooker that help them prepare a dish in five minutes	high
education is an essential part in development	most developing countries are lack of educational resources, such as experienced teachers, evaluation systems and teaching facilities, which is usually neglected by local authorities	high
if the developed countries are unwilling to share their successful experience in education, the developing countries will remain undeveloped, even though they gain a great deal of economic support	education is an essential part in development	low
developing countries should not totally depend on the financial support from powerful countries	some powerful countries provide financial support in order to acquire the right to exploit the local resources and target the local labour market	high
developing countries should not totally depend on the financial support from powerful countries	they rarely provide local residents with any technological aid and even cause contamination in some areas	high
these kind of ads will have negative effect to our children	youngsters might be tempted to buy cigarettes or alcohol and later to start consume it on a daily basis	low
advertising alcohol, cigarettes, goods and services with adult content should be prohibited	some countries take this issue seriously and advertising alcohol, cigarettes and materials with adult content is banned on those countries	high
these days, not only many businesses, but also governments have to rely on advertising	in order to promote the country's attractions, the czech government has to advertise and sell its services to foreign consumers	high
it is no doubt that they play roles as a mother and as a wife better	these things in turn will make them more confident, independent	low
it is no doubt that they play roles as a mother and as a wife better	these women will set a good example for their children	low
there are many supporting conditions that help women balance housework and work	besides the gorvernment's policies on limited families and their husbands' sharing in the housework, many employers are willing to offer part-time jobs for women	high
they will be more responsible with their studies when they pay the fees themselves	students that already have a basic knowledge and education can get a part-time job and they can pay for their own studies when their parent could not afford to pay it	high
this will encourage all the parents to think of the way to help their children to achieve more in their lives	they need to make some contribution too for their children future	low
the methods to reduce the number of automobiles and to control car ownership and use should be immediately planned and implemented	once we get into the traffic jam, it forces us to waste our time for a while	low
alternative forms which emit less carbon dioxides and gasses than automobiles are ideal	this system is that at the corner of each district, the rental bicycles are placed and the people can ride it to the other districts with a small fee	high
alternative forms of transportation and international laws to control automobiles ownership and use can work effectively	the introduction of international laws can be also effective	low
aiding help poor countries in this situation solve their economical problems and run their own business	to be out of poverty, it is fundamental to support basic industry related factors such as light, electricity, load, highways, natural resources, technology and buildings for companies	high
aiding campaign gives a chance to considerate about poor people	it not only raises the notice the meaning of harmony and love, but also be a good chance to learn humane doctrine of globalization	low
the campaigns might include practical benefits	in globalized world, the economies of several countries are in a big network and must influence on each others	low
the campaigns might include practical benefits	when america mortgage loan system went bad, several economies of european and asian countries fluctuated, even any countries had to be gotten international supports to block its bankrupt	high
some people prefer to recognize globalization as a threat to ethnic and religious values of people of their country	the idea of globalization put their inherited culture in danger of uncontrolled change and make them vulnerable against the attack of imperialistic governments	high
globalization contribute effectively to the global improvement of the world in many aspects	developing globalization, people can have more access to many natural resources of the world and it leads to increasing the pace of scientific and economic promotions of the entire world	high
globalization contribute effectively to the global improvement of the world in many aspects	they admit that globalization can be considered a chance for people of each country to promote their lifestyle through the stuffs and services imported from other countries	high
they have more opprotunities to find a job and to be successful in the future	schools provide lots of academic knowledge to students	low
schools provide lots of academic knowledge to students	students may learn professional skills, expand their understandings and gain experiences	low
children should interrupt their school work and get a job	there are many subjects that will be of little value to them in the future	low
children should interrupt their school work and get a job	children can learn social skills when they have a job	low
children should interrupt their school work and get a job	they can get more experiences that can not be obtained at school	low
it is not about the function or quality of the commodities themselves but really the promotion of the good feeling of possessing the product	huge cooperation hire celebrities as the face of their product	low
it is not about the function or quality of the commodities themselves but really the promotion of the good feeling of possessing the product	by casting famous singers in their television advertisement, motorcycles or clothes for example, sales increase significantly	high
the quality obviously is not relatively important	having these products shows their status	low
it is not about the function or quality of the commodities themselves but really the promotion of the good feeling of possessing the product	the quality obviously is not relatively important	low
it plays and important role economically	advertisements can be falseful and exaggerated	low
they introduce new products, and provide various choices, not to mention they are often visually enjoyable	they aim to grab your attention	low
it plays and important role economically	advertising also helps to keep prices at reasonable levels, creates a fair environment for commercial competition	high
advertising also helps to keep prices at reasonable levels, creates a fair environment for commercial competition	otherwise the market may be monopolistic, and the price as well as the choice will not be so selective	high
the fewer guns possessed, the fewer accidents would happened, our surroundings would be safer with lower accident rates	we hear some news from time to time that someone was hurt by accident during the hunting	low
most violent crimes are related to the abuse of guns, especially in some countries where guns are available for people	in american, young adults and even juveniles can get access to guns, which leads to the tragedies of school gun shooting	high
most violent crimes are related to the abuse of guns, especially in some countries where guns are available for people	some terrorists are able to possess more advanced weapons than the police, which makes citizens always live in danger	high
the possession of guns can also raise the rates of suicide	in the us, firearms remain the most common method of suicide, accounting for about 50 per cent	high
it really help to alleviate the tension	an international sporting event is normal held in a country with huge interest from fans all over the world	high
it really help to alleviate the tension	people can understand more about a country	low
it really help to alleviate the tension	it is useful to ease tensions between nations	low
it really help to alleviate the tension	in fifa world cup 2010, the relation between north korea and south korea is dangerous for the warship sinking	high
it really help to alleviate the tension	the world suspected north korea of the aggressive action	low
it really help to alleviate the tension	it is rare times when people can learn about this country	low
an international sporting event also helps fans release patriotic emotions in a safe way	regardless of the competition between teams, their emotions are always released in a safe way due to the sole passion of the sport	high
an international sporting event also helps fans release patriotic emotions in a safe way	they will try to create a beautiful image about their land and people	low
an international sporting event also helps fans release patriotic emotions in a safe way	in olympic beijing 2008, chinese tried thier best to bring the world a spectacular image about their country	high
an international sporting event also helps fans release patriotic emotions in a safe way	foreigners came here always received the support of friendly volunteers who were young students	high
most members of our society can benefit from the consequences of technical advancements, especially the poor people	the progress of material technology leads to the sharp fall of price of a great number of products	high
technical developments improve productivity, which help people to escape from daily chores, and invest more time and energy in studying and living a more meaningful life	we had to spend a lot of time searching information and waiting for letters of our friends who lived far away from us	high
technical developments improve productivity, which help people to escape from daily chores, and invest more time and energy in studying and living a more meaningful life	we can talk with our friends online, no matter where we are and how far between us	low
technical developments improve productivity, which help people to escape from daily chores, and invest more time and energy in studying and living a more meaningful life	this therefore leads to greater equality between individuals	low
many facts about solar system can be discovered	if it was not for the space exploration, we would never know these facts	low
people can know more about the planet earth itself	by observing planet earth from outer space, people can find out ample things for example about the atmosphere of the planet earth	high
a great deal of sophisticated technology can be invented	as astronauts need to travel to outer space which does not have any oxygen to breathe in, scientists are compelled to do research on the oxygen tanks	high
students who get part time jobs have not only academic knowledge but also hands-on experience	that seems to be more essential the present shortage of sufficiently practical conditions supplied in universities	low
students who take on a part time job are often more confident and independent than other ones	by constant communicating with other colleagues daily in a company environment where their new ideas can be raised without hesitation, then students' confidence could be significantly gained	high
students who take on a part time job are often more confident and independent than other ones	working conditions require students the independency in thinking, working, and solving problems, which is greatly helpful when the characteristic is applied to tackle subjects in their universities	high
students can learn invaluable experiences through the period of time working for the institutions they are assigned to	the internship, although without pay, can give them the experiences that money cannot buy	low
companies save time and resources for searching new staffs and organizing an orientation	as for the companies, the unpaid interns can no doubt save some money	low
companies save time and resources for searching new staffs and organizing an orientation	the younger generations can help them generate new ideas as the students are not bound to restricted workload and they tend to have greater imagination, which can be essentially helpful when they are making a new advertisement or slogan	high
a raise or a promotion can no doubt increase the morale in the working places	junior high school teachers have great responsibility not only for students' private lives as they are going through adolescence but also their school work	high
junior high school teachers have great responsibility not only for students' private lives as they are going through adolescence but also their school work	it is an important phase for them to study hard and get into the high school they want	low
junior high school teachers have great responsibility not only for students' private lives as they are going through adolescence but also their school work	if the teachers receive higher salaries, they will be willing to spend more extra time mentoring the youngsters rather than hoping they learn in cram schools and so forth, as this is what is happening in taiwan	high
creating an enjoyable working environment is more realistic and essential if one wishes an increase in productivity and better employee performances	take google for example, the company offers recreation rooms and extra personal leaves for their workers to develop a more relaxing and supportive workforce	high
creating an enjoyable working environment is more realistic and essential if one wishes an increase in productivity and better employee performances	the employers can make sure the employees can actually focus and concentrate on their projects instead of thinking about their children or feeling pressured	high
world sports events strongly participate in eventually pulling back people towards friendship and peace	during times of war, people living in badly affected countries can forget about the gloomy environment and maintain a link with the rest of the world by listening to international sports event	high
during times of war, people living in badly affected countries can forget about the gloomy environment and maintain a link with the rest of the world by listening to international sports event	when irak was hardly struck by the second gulf war, its citizens tried to catch any incoming news about the footballworld cup through their portable receivers	high
during times of war, people living in badly affected countries can forget about the gloomy environment and maintain a link with the rest of the world by listening to international sports event	international sports competitions encourage people and put pressure on them to come back, sooner or later, to a relative peaceful normality	high
it is clear that people can freely express their patriotic feelings during international sports events	when the football world cup was organised in south africa, its citizens filled up the stadiums, cheered and waved national flags to support their national team on the field	high
it is clear that people can freely express their patriotic feelings during international sports events	this example demonstrates how people might take numerous elements from their roots and history to proudly display them while supporting their team	high
it would be a good implication by the government to generate electricity from other available sources	the major source of energy today is water	low
it would be a good implication by the government to generate electricity from other available sources	if the government encourage the use of nuclear, solar or wind energy there might not be any problem in distributing the required amount electricity	high
the sources most widely used currently to generate power releases extensive amount of gases into the atmosphere which increases global warming	the use of nuclear energy as an alternative to the hydro-kinetic energy causes less atmospheric pollution	high
government money should be spent on publicly beneficial programs only	addressing unemployment should have low priority	low
this does not mean we should leave alone those who do need assistance	they are already in reverse circumstances and it would be rather difficult for them to overcome the difficulties without external support	low
this does not mean we should leave alone those who do need assistance	the government ought to set up free vocational trainings or to provide interest-free bank loans for them, so that they can have the chance to get back to work	high
this does not mean we should leave alone those who do need assistance	it is beneficial to the society as a whole when the jobless can make contribution again	low
a university, in common sense, is a medium for conveying or providing access to knowledge	students are the ones universities should really cater for, not the employers	low
a university, in common sense, is a medium for conveying or providing access to knowledge	high school graduates choose to further educate themselves in universities because of all different reasons: a degree that's more widely accepted, gain knowledge and insight into an industry, or simply deepen their research interests in a certain field	high
it is our responsibility to create a natural and safe environment for animals to live in	it is the right of wild species to live in a environment away from human beings	low
it is our responsibility to create a natural and safe environment for animals to live in	given the fact that human beings are responsible for the heavy pollution and severe damage to the natural habitats of many wild animals	high
zoos are more likely to be a killer rather than a protector in protecting wild lives	the limited space and the artificial trees and lakes can not fully compensate the animals for their loss	low
zoos are more likely to be a killer rather than a protector in protecting wild lives	if rural animals are captured in the zoo for a long period, it would have negative influences on both the physical and psychological status of the creatures	low
zoos are more likely to be a killer rather than a protector in protecting wild lives	the wild species would suffer from isolation and depression	low
the endangered species preserved in zoos would never die of illegal hunting	the strict laws prohibiting poaching would provide a shelter for various kinds of animals in natural habitat	low
zoos, which are equipped with modern facilities and professionals, would provide better care for the animals inside	the growing number of natural habitat would be the ultimate solution of saving wild animals worldwide	low
distance-learning brings significant convenience for students in every corner of the world	in earlier times, students who were tired of commuting had to attend schools nearby, regardless of any differences in teaching facilities, teacher's qualifications or the school reputation	high
educational institutions are able to optimize costs by increasing teacher-student ratios	thanks to the economical online-teaching, universities and colleges are able to offer grants for students who have outstanding academic achievements but are unable to attend schools because of financial constrains	high
attending lectures in person provides students an opportunity to communicate with teachers and other classmates	they further point out that traditional teaching approaches involving discussion and cooperation among students play a significant role in campus life	low
these new forms of communication do bring a great deal of convenience to humankind	with a mobile phone or a laptop, a person can talk or send messages online at a bus stop, in a corner shop or anywhere they could imagine	high
people who live in poverty are less likely to be benefited from modern communication technologies	the more privileged are able to enjoy the benefits	low
people who live in poverty are less likely to be benefited from modern communication technologies	anyone who aims to use these innovations have to not only pay for the appliances such as a mobile phone or a computer but also cover up costs for communication services	low
many university authorities provide music lessons for their students	they live and study in a harmony with music	low
many university authorities provide music lessons for their students	music can be a useful and interesting solution	low
many university authorities provide music lessons for their students	the calm atmosphere in the class might be created	low
music and other entertaining subjects should be optional	music is the art which requires special attitude towards it	low
all professors and students need to have a modern and well-equipped library	a library is vital and strategical part of a university	low
all professors and students need to have a modern and well-equipped library	after internet, library plays an important role in research	low
universities support is vital for libraries	most libraries are free not for students also for public	high
there are good ways for sports activities to compensate their expenses, but it is very hard for libraries to find a good way for have an income	universities support is vital for libraries	low
there are good ways for sports activities to compensate their expenses, but it is very hard for libraries to find a good way for have an income	sport activities have a good income	low
investing in libraries has a long-time result	a library can buy a lot of new books or they can buy more computers	high
investing in libraries has a long-time result	most of the library facilities are stable and you can use them for a long time	low
investing in libraries has a long-time result	in the far future, they become more valuable	low
investing in libraries has a long-time result	most sports facilities except buildings are usually can be used in short-time and they are not persistent for a long-time	high
the prevalent of english brings a great number of benefits for people	in the ancient time, the different languages and geography set barriers for people to exchange their goods and ideas	low
the prevalent of english brings a great number of benefits for people	the innovation of plane and train solved the geographical barriers	low
the prevalent of english brings a great number of benefits for people	english is a beautiful language, which is more systematical and extensive than many other languages	low
the prevalent of english brings a great number of benefits for people	learning english can foster people's sentiment and nourish their literature and art	low
english is a sophisticated language	it does not express every detail of life especially in asia countries, which have totally different linguistic system	low
the dominated status of english has destroyed culture diversity and many less-used languages become extinct	english is a sophisticated language	low
these languages have special significance for people who belong to them and using english to replace them is crudity	language contains many aspects of people's daily life, which is influenced by culture, environment as well as religious	high
the dominated status of english has destroyed culture diversity and many less-used languages become extinct	these languages have special significance for people who belong to them and using english to replace them is crudity	low
human being has driven many animals for their personal use such as, cows and other milch animals for yielding milk from them	many people keep pets like dogs and cats, trained them as service dogs and snuffing dogs which are very helpful to police force and even to some blind peoples	high
human being has driven many animals for their personal use such as, cows and other milch animals for yielding milk from them	they are kept for security purposes in houses	low
many farmers and owners exploit animals beyond their limits	cows are often injected by oxytocin, a hormone which is used to forcibly increase lactation	high
many farmers and owners exploit animals beyond their limits	this in turn, causes lots of discomfort and pain to the cattle	low
many farmers and owners exploit animals beyond their limits	and above all pleasure hunting of defenseless animals	low
many farmers and owners exploit animals beyond their limits	many other practices like, equestrian sport where horses run miles and miles and beaten up by jockeys to make them run more faster	high
people who watch exhibitions on tv or internet at home, save the time and money on the road, which is increasingly significant particularly to people in modern society	technology indeed simplifies people's life all the time	low
these buildings will not disappear unless people abandon their culture	museums and art galleries preserve some culture heritages	low
the benefits of teaching students different units are easily recognized	teenagers are still too young and immature to decide what they are going to dedicate	low
the benefits of teaching students different units are easily recognized	most students regard the extra knowledge useless and impractical for their future jobs	low
this education model can cultivate more talents who specialized in different areas and increase studying effectiveness	the dullness of course may deeply influence their passion on study	low
