sentence1	sentence2	label
when we practice outdoors and indoors sports, many aspects are getting clearer	almost all natural science discoveries were made by direct observation, which is a part of physical education	low
financial sustainability of a region mostly depends on how healthy the population is	the money invested into physical education program can save allocations into healthcare	high
putting physical activities in early steps of human development would finally lead to mentally healthy society	physically healthy people can contribute more both into economical and social development	high
putting physical activities in early steps of human development would finally lead to mentally healthy society	it ends up with financially competitive country	low
email can be count as one of the most beneficial results of modern technology	many years ago, peoples had to pay a great deal of money to post their letters, and their payements were related to the weight of their letters or boxes, and many accidents may cause problem that the post could not be delivered	low
another technological innovations which help people around the world is related to medical equipments	biomedical engineers could make a significant effect on increasing life expectancy the world	low
another technological innovations which help people around the world is related to medical equipments	in the past time doctors used pig heart's valve to implant, but the patient could not be alive more than 3 years after the replacement	high
another technological innovations which help people around the world is related to medical equipments	but now, biomedical engineers can make artificial heart valves which works well and doctors can implant them easily	high
with the advent of internet and online paying systems, you can do many thing at your home easily	another important aspect on technology is transferring money	low
when they come across a high-tech product like a cellphone, they will be obsessed with its mysterious functions and eager to know how it works	children are curious about everything around them	low
instead of interfering children's creativity, technology actually encourages children to learn and to create	when they come across a high-tech product like a cellphone, they will be obsessed with its mysterious functions and eager to know how it works	high
the diverse knowledge that children gained from different parts of the world, inspires children and encourage them to create new things	technology widen children's knowledge	low
the diverse knowledge that children gained from different parts of the world, inspires children and encourage them to create new things	in the past, children were only able to see things from one perspective	low
the diverse knowledge that children gained from different parts of the world, inspires children and encourage them to create new things	they will be able to learn about different cultures and different ways of thinking	high
technology may have negative effects on children	technology has made life too easy for most children	low
technology may have negative effects on children	with the development of technology, increasingly more young people become obsessed with high-tech products	high
students at schools and universities still learn much more from lessons with teachers	it is teachers that help them with obstacles in schooling	low
they can only input some key words and google it, and then there are numberless articles and websites related to it	students learn things easily	low
they contend that good television programs do teach students	discovery channel has many instructive episodes	low
they contend that good television programs do teach students	students have knowledge of others cultures, outer space etc	low
it is easy to point out many benefits users can get from email and text messaging, which answers to the question of their great popularity	such ways usually made people have troubles for the expensiveness, difficulties in far communication or emergency and the loss of information	low
it is easy to point out many benefits users can get from email and text messaging, which answers to the question of their great popularity	thanks to the function provided by email and text messaging (sms), it is cheaper and faster to transfer a lot of information, even to many people at the same time	high
it is easy to point out many benefits users can get from email and text messaging, which answers to the question of their great popularity	they are so convenient that the majority of population prefer to use them instead of some traditional ways	high
language in writing is not in its original form	people tend to use slangs and abbreviated words to shorten their writing and save more time in communicating for other activities	high
language in writing is not in its original form	people compose a message with only emoticons (the expressions by face created by service providers), which means there is no room for writing or typing texts	high
doing this various testing is a hazard of human's future and next generation	animals are friendly and vital for people	low
animals are friendly and vital for people	if there are no animals in the world, the balance of nature will broke down, and we, human, will die out as well	low
doing this various testing is a hazard of human's future and next generation	the animal experiments accelerate the vanishing of some categories of animals	low
it is indisputable that every new kind food or pill may be noxious, and scientists must do something to insure that the new invention benefits people instead of making people ill or even dying	it also have potentially harm for human's health without any testing	low
it is indisputable that every new kind food or pill may be noxious, and scientists must do something to insure that the new invention benefits people instead of making people ill or even dying	animal experiments have negative impact on the natural balance	low
in spite of enjoying watching television shows, it is really time consuming task	this is a problem that suffers all of us everyday	low
women have proved themselves in every field whether it is indoor or outdoor	nowadays women are working in home as well as in the sky	low
women have proved themselves in every field whether it is indoor or outdoor	they are acting as a good housewife and they are flying planes also	low
employers need male candidates for the heavy work such as repairing and installation of heavy machine	they want female candidates for soft natured work like counseling, teaching, designing etc	high
employers need male candidates for the heavy work such as repairing and installation of heavy machine	they prefer male staff for night shifts	low
the job selection criteria are pre decided	employers need male candidates for the heavy work such as repairing and installation of heavy machine	high
universities should accept equal numbers of students of both genders	women have proved themselves in every field whether it is indoor or outdoor	high
there will not be such worries when young adults live in their own home	parents will take care for them	low
if the young adults still study they will have to combine studying with working	they will not have money to pay for everything	low
another problem that the young adults may encounter is to find a co-tenant, who they do not like	living with such a person may be a huge problem for the young adults	low
living in their own houses will save the young adults a lot of money	parents will give their children money in order they to focus only on studying	low
if these companies were obliged to pay to clean up the air pollution, they would at least make an effort to reduce the amount of air pollution they cause	while these companies make a huge amount of money from their businesses, most of them are not considering to take precautions to reduce the amount of air pollution	high
by charging private individuals for causing air pollution, that will at least contribute to reduce the amount of the pollution	private individuals cause air pollution in several ways such as inessential use of cars and house heating	high
advertisers push the limits of creativity to dispose the consumers to purchase the product	we are mainly introduced to products through advertisements	low
the number of that product being sold will increases	the story delivers a desired call to drink that soft drink that people tend to drink when the weather is too hot	low
advertisement is the most effective way to create a well-known product	the more an advertisement of a product takes place in mass media, the more popular the product becomes	low
when a product is commonly used, it becomes trustworthy for the society, no matter what quality it is	it also has to be affordable for the consumer	low
they make the product preferable	advertisements have undeniable affects on the society about the product being advertised	low
it is not sufficient in itself	the product also should satisfy the needs of the consumers	low
universities provide not only skills for careers, but also academic knowledge for the human race, such as bio science, politics, and medicine	these academic values are necessary to the progress of the world	low
diverse experiences in the campus life can make the young generation more competently	there are a number of chances through internships, deeper discussion, independent life, and exchange scholarships	high
universities provide not only skills for careers, but also academic knowledge for the human race, such as bio science, politics, and medicine	diverse experiences in the campus life can make the young generation more competently	high
the mobile phone has become a dispensable multifunctional tools in people's daily life	not only used for communication, but it also functions as an internet browser, a music player, a personal organizer and so forth	high
several teenagers play games without rest, which leads to health depression	a typical example is the death of korean gamer, who had a non-stop playing for 3 days	high
even people who are not interested in online game can still be negatively affected by using computer too much	some social surveys have shown that a few children use computer for studying purpose, most of them are attracted by facebook, blog, etc. instead	high
it is true that some area are suffering the dire consequences caused by overdeveloping the industry, such as water pollution, overcrowded traffic and medical problems	in some industrial cities, a large proportion of the workers are suffering various breathing problems, such as asthma which can be caused by waste ashes and certain chemical substances	high
how to improve the disadvantages of building a factory would be more important than whether to build it	it is inevitable that there will be more factories built with the development of our society	low
a large factory can stimulate local economic growth and reduce the unemployment rate	the factory is not isolated, other industries and business will be quickly established, resulting in economic growth of local area	high
easy-to-cook foods sometimes could be dangerous for human's health	to make their food easier to prepare and taste delicious, almost every producer adds a wide range of artificial ingredients in to the food that is now purchased by most people	high
not cooking fresh food will also lead to the lack of nutrition	whereas some research has apparently demonstrated that prepared food is unable to support enough nutrients we need, especially for children who are growing up	high
if the developed countries are unwilling to share their successful experience in education, the developing countries will remain undeveloped, even though they gain a great deal of economic support	education is an essential part in development	low
these kind of ads will have negative effect to our children	youngsters might be tempted to buy cigarettes or alcohol and later to start consume it on a daily basis	low
advertising alcohol, cigarettes, goods and services with adult content should be prohibited	some countries take this issue seriously and advertising alcohol, cigarettes and materials with adult content is banned on those countries	high
these days, not only many businesses, but also governments have to rely on advertising	tourism makes up one-third of the czech republic's economy	high
there are many supporting conditions that help women balance housework and work	besides the gorvernment's policies on limited families and their husbands' sharing in the housework, many employers are willing to offer part-time jobs for women	high
it is no doubt that they play roles as a mother and as a wife better	working outside the house creates opportunities for married women to contact with the outer world, strengthen their character and show their capacity	high
it is no doubt that they play roles as a mother and as a wife better	these things in turn will make them more confident, independent	low
the air gets to be polluted and it causes respiratory disease of the local inhabitants	automobile exhaust and carbon dioxides emission have bad impacts on the air	low
the methods to reduce the number of automobiles and to control car ownership and use should be immediately planned and implemented	once we get into the traffic jam, it forces us to waste our time for a while	low
alternative forms which emit less carbon dioxides and gasses than automobiles are ideal	this system is that at the corner of each district, the rental bicycles are placed and the people can ride it to the other districts with a small fee	high
it is a better form to protect environment than automobile	bicycle expels neither carbon dioxides nor harmful gasses	low
alternative forms which emit less carbon dioxides and gasses than automobiles are ideal	it is a better form to protect environment than automobile	high
alternative forms of transportation and international laws to control automobiles ownership and use can work effectively	alternative forms which emit less carbon dioxides and gasses than automobiles are ideal	high
aiding help poor countries in this situation solve their economical problems and run their own business	poor counties suffer from shortage of basic materials and facilities to start businesses and make it richer	low
aiding help poor countries in this situation solve their economical problems and run their own business	to be out of poverty, it is fundamental to support basic industry related factors such as light, electricity, load, highways, natural resources, technology and buildings for companies	low
aiding help poor countries in this situation solve their economical problems and run their own business	republic of korea used to be the poorest country even compared to others in africa in 1960's	high
aiding help poor countries in this situation solve their economical problems and run their own business	now that it has became strong economy country aiding poor countries after 10 years of aid from other counties	high
the campaigns might include practical benefits	in globalized world, the economies of several countries are in a big network and must influence on each others	low
globalization contribute effectively to the global improvement of the world in many aspects	developing globalization, people can have more access to many natural resources of the world and it leads to increasing the pace of scientific and economic promotions of the entire world	high
schools provide lots of academic knowledge to students	students may learn professional skills, expand their understandings and gain experiences	low
they have more opprotunities to find a job and to be successful in the future	employer always prefer to hire an employee of high degree who have professional skills	low
it is not about the function or quality of the commodities themselves but really the promotion of the good feeling of possessing the product	huge cooperation hire celebrities as the face of their product	low
by casting famous singers in their television advertisement, motorcycles or clothes for example, sales increase significantly	youngsters, as the target consumers, love celebrities	low
it is not about the function or quality of the commodities themselves but really the promotion of the good feeling of possessing the product	by casting famous singers in their television advertisement, motorcycles or clothes for example, sales increase significantly	high
it plays and important role economically	advertisements can be falseful and exaggerated	low
they introduce new products, and provide various choices, not to mention they are often visually enjoyable	they aim to grab your attention	low
most violent crimes are related to the abuse of guns, especially in some countries where guns are available for people	in american, young adults and even juveniles can get access to guns, which leads to the tragedies of school gun shooting	high
the possession of guns can also raise the rates of suicide	in the us, firearms remain the most common method of suicide, accounting for about 50 per cent	high
the possession of guns can also raise the rates of suicide	there is an increasing trend of adolescent suicides and suicides among those age 75 and over	high
it really help to alleviate the tension	it is useful to ease tensions between nations	low
it really help to alleviate the tension	in fifa world cup 2010, the relation between north korea and south korea is dangerous for the warship sinking	low
it really help to alleviate the tension	the world suspected north korea of the aggressive action	low
it really help to alleviate the tension	due to this event north korea showed a friendship and enthuasism	low
an international sporting event also helps fans release patriotic emotions in a safe way	in olympic beijing 2008, chinese tried thier best to bring the world a spectacular image about their country	high
an international sporting event also helps fans release patriotic emotions in a safe way	foreigners came here always received the support of friendly volunteers who were young students	low
an international sporting event also helps fans release patriotic emotions in a safe way	they were welcomed by each chinese hospitality, beauty in each cities	low
technical developments improve productivity, which help people to escape from daily chores, and invest more time and energy in studying and living a more meaningful life	we can talk with our friends online, no matter where we are and how far between us	low
most members of our society can benefit from the consequences of technical advancements, especially the poor people	the progress of material technology leads to the sharp fall of price of a great number of products	high
many facts about solar system can be discovered	if it was not for the space exploration, we would never know these facts	low
people can know more about the planet earth itself	by observing planet earth from outer space, people can find out ample things for example about the atmosphere of the planet earth	high
a great deal of sophisticated technology can be invented	as astronauts need to travel to outer space which does not have any oxygen to breathe in, scientists are compelled to do research on the oxygen tanks	high
having experienced in working environment during student time offers a distinct advantage when they apply for jobs after their graduation	it is undoubtedly certain that students can gain their practical experience by getting involved extra jobs	low
doing extra jobs helps student with money for their accommodation	high studying tuition, added with raising accommodation expenses are becoming a huge burden to students	low
students who take on a part time job are often more confident and independent than other ones	by constant communicating with other colleagues daily in a company environment where their new ideas can be raised without hesitation, then students' confidence could be significantly gained	high
students who take on a part time job are often more confident and independent than other ones	working conditions require students the independency in thinking, working, and solving problems, which is greatly helpful when the characteristic is applied to tackle subjects in their universities	high
companies save time and resources for searching new staffs and organizing an orientation	the younger generations can help them generate new ideas as the students are not bound to restricted workload and they tend to have greater imagination, which can be essentially helpful when they are making a new advertisement or slogan	high
companies save time and resources for searching new staffs and organizing an orientation	they can start looking for potential employees and begin the training	low
the internship, although without pay, can give them the experiences that money cannot buy	students might have little idea of the real challenges or the true situation when they enter the workforce after graduation	high
students can learn invaluable experiences through the period of time working for the institutions they are assigned to	the internship, although without pay, can give them the experiences that money cannot buy	high
a raise or a promotion can no doubt increase the morale in the working places	workers understand they have to work harder to meet the boss' expectations and to make themselves worthwhile	low
junior high school teachers have great responsibility not only for students' private lives as they are going through adolescence but also their school work	it is an important phase for them to study hard and get into the high school they want	low
junior high school teachers have great responsibility not only for students' private lives as they are going through adolescence but also their school work	if the teachers receive higher salaries, they will be willing to spend more extra time mentoring the youngsters rather than hoping they learn in cram schools and so forth, as this is what is happening in taiwan	high
a raise or a promotion can no doubt increase the morale in the working places	junior high school teachers have great responsibility not only for students' private lives as they are going through adolescence but also their school work	high
creating an enjoyable working environment is more realistic and essential if one wishes an increase in productivity and better employee performances	take google for example, the company offers recreation rooms and extra personal leaves for their workers to develop a more relaxing and supportive workforce	high
creating an enjoyable working environment is more realistic and essential if one wishes an increase in productivity and better employee performances	the employers can make sure the employees can actually focus and concentrate on their projects instead of thinking about their children or feeling pressured	high
it is clear that people can freely express their patriotic feelings during international sports events	when the football world cup was organised in south africa, its citizens filled up the stadiums, cheered and waved national flags to support their national team on the field	high
it is clear that people can freely express their patriotic feelings during international sports events	south african national and traditional songs were played in the streets throughout the night	high
it is clear that people can freely express their patriotic feelings during international sports events	this example demonstrates how people might take numerous elements from their roots and history to proudly display them while supporting their team	high
it would be a good implication by the government to generate electricity from other available sources	there is a lot of water shortage to generate electricity many countries still rely only on this source	low
it would be a good implication by the government to generate electricity from other available sources	if the government encourage the use of nuclear, solar or wind energy there might not be any problem in distributing the required amount electricity	high
the sources most widely used currently to generate power releases extensive amount of gases into the atmosphere which increases global warming	the use of nuclear energy as an alternative to the hydro-kinetic energy causes less atmospheric pollution	high
government money should be spent on publicly beneficial programs only	tax revenue is collected from those who works	low
this does not mean we should leave alone those who do need assistance	it is beneficial to the society as a whole when the jobless can make contribution again	low
it is, therefore, not necessary for a certain course or type of training to be offered to the students by a university, but instead, these must be made available when needed	universities are regarded as institutions where abundant educational resources gather	low
it is our responsibility to create a natural and safe environment for animals to live in	given the fact that human beings are responsible for the heavy pollution and severe damage to the natural habitats of many wild animals	low
educational institutions are able to optimize costs by increasing teacher-student ratios	thanks to the economical online-teaching, universities and colleges are able to offer grants for students who have outstanding academic achievements but are unable to attend schools because of financial constrains	high
these new forms of communication do bring a great deal of convenience to humankind	mobile phones and other tools of modern communication facilitate not only contact with friends and relatives in faraway places but also global business	low
these new forms of communication do bring a great deal of convenience to humankind	it is generally felt that the access to these tools of communication is available in every corner of the world	low
these new forms of communication do bring a great deal of convenience to humankind	with a mobile phone or a laptop, a person can talk or send messages online at a bus stop, in a corner shop or anywhere they could imagine	low
people who live in poverty are less likely to be benefited from modern communication technologies	anyone who aims to use these innovations have to not only pay for the appliances such as a mobile phone or a computer but also cover up costs for communication services	low
many university authorities provide music lessons for their students	it is obvious that music has a great power which can positively influence on human being and its psychology	low
many university authorities provide music lessons for their students	they live and study in a harmony with music	low
many university authorities provide music lessons for their students	students, who spend a great deal of their time studying different academic subjects should have an opportunity to cope with the stress gained during school time	low
many university authorities provide music lessons for their students	music can be a useful and interesting solution	low
many university authorities provide music lessons for their students	if musical activity involves many participants, there will be co-operation and developed team work in the group, which is, of course, beneficial in their future life	low
many university authorities provide music lessons for their students	the calm atmosphere in the class might be created	low
music and other entertaining subjects should be optional	it is clear that music can have many mentally enhancing effects on students	low
music and other entertaining subjects should be optional	demand is not for musically orientated students, but for academically developed employees	low
music and other entertaining subjects should be optional	music is the art which requires special attitude towards it	low
all professors and students need to have a modern and well-equipped library	a library is vital and strategical part of a university	low
all professors and students need to have a modern and well-equipped library	after internet, library plays an important role in research	low
there are good ways for sports activities to compensate their expenses, but it is very hard for libraries to find a good way for have an income	sport activities have a good income	low
investing in libraries has a long-time result	a library can buy a lot of new books or they can buy more computers	low
investing in libraries has a long-time result	most of the library facilities are stable and you can use them for a long time	low
the prevalent of english brings a great number of benefits for people	the innovation of plane and train solved the geographical barriers	low
english is a sophisticated language	it does not express every detail of life especially in asia countries, which have totally different linguistic system	low
the dominated status of english has destroyed culture diversity and many less-used languages become extinct	english is a sophisticated language	low
human being has driven many animals for their personal use such as, cows and other milch animals for yielding milk from them	they are kept for security purposes in houses	low
many farmers and owners exploit animals beyond their limits	cows are often injected by oxytocin, a hormone which is used to forcibly increase lactation	high
many farmers and owners exploit animals beyond their limits	and above all pleasure hunting of defenseless animals	low
people who watch exhibitions on tv or internet at home, save the time and money on the road, which is increasingly significant particularly to people in modern society	technology indeed simplifies people's life all the time	low
in accordance with recent research, experts suggest the lifestyle of individuals in modern society is unhealthy	they lack of physical exercise and face-to-face communication	low
these buildings will not disappear unless people abandon their culture	museums and art galleries preserve some culture heritages	low
the benefits of teaching students different units are easily recognized	still many teenagers cannot enjoy the variation of the curriculum, instead, they feel more stressful with so much homework and exams to be done	low
this education model can cultivate more talents who specialized in different areas and increase studying effectiveness	under such target-oriented education environment, teenagers may be hard to regret their original choice and change their specialized field in their further study	low
this education model can cultivate more talents who specialized in different areas and increase studying effectiveness	the dullness of course may deeply influence their passion on study	low
studying abroad is easy and becomes hot among youngsters	in my country, english is a required course from elementary school	low
no one can deny the huge benefits of the trend that english is being accepted universally	communication between countries and cultures become convenient	low
researchers, especially those who work on high-tech, would have wider range of references if they are good at english	taking it industry for an example, top technical science is published in english	low
they have no choice but choosing english as a second language	it's neither to get a translated version of these articles, nor to always have a translator besides	low
it helps to raise issues and criticize the wrong doings of the governments	bangladeshi writer taslima nasrin was accused of acting against the government, just because she raised a social issue	high
it helps to raise issues and criticize the wrong doings of the governments	this type of approach is a hurdle in promoting creative minds	low
co-operation is essential for teamwork	educational systems emphasize on encouraging co-operative approach in children	low
co-operation helps to understand other's perspective and learn by their mistakes	it helps to identify one's strengths and weaknesses as compared to others	low
lions hunt in a team	it is only due to their teamwork that they are able to catch a prey and make task easy	low
competition helps in improvement and evolution	competition has helped the development of science and technology	low
capital punishment protects the society from hardcore criminals	"capital punishment is given only in the ""rarest of the rare"" cases"	low
they can make mistakes which can sometimes affect an innocent, circumstantially marred criminals	the jury giving the verdict are also humans	low
working or traveling for some time, after high school, can help them to find their field of interest	it will also help them to learn professional setup by working	low
working or traveling for some time, after high school, can help them to find their field of interest	financially, students can save a little money to support their university education by doing a job	low
working or traveling for some time, after high school, can help them to find their field of interest	some students even utilize this time for preparation of their desired university course	low
a break can disturb the focus of students and prove detrimental	students can also indulge in smoking or drinking during this time	low
a break can disturb the focus of students and prove detrimental	it varies from individual to individual, how they utilize that period	low
computers provide speed, increase efficiency, accuracy, precision, help to increase productivity and other countless benefits are provided by it	in the modern world, computers are used everywhere	low
computers have made humans over-dependent	virus programs, privacy breach, leak of confidential documents, cyber attacks, identity theft, frauds etc. are some of its demerits, from a countless list	high
computers have made humans over-dependent	they have even invaded mental health of humans, for example, fad (facebook addiction disorder - excessive use of social networking website facebook)	high
computers have made humans over-dependent	computers expose children to vulgar materials	low
computers provide speed, increase efficiency, accuracy, precision, help to increase productivity and other countless benefits are provided by it	computers have made human life more easy, convenient and lightning fast	high
females should be given equal opportunities as males	right to education is a basic human right of both, males and females	low
females should be given equal opportunities as males	the whole world aims for women empowerment	low
it helps them how to behave and cooperate and work together	females studying in girl's colleges are too shy to face boys	low
some male chauvinists think that women are incapable in particular fields, like maths, mechanical engineering, defense etc	this kind of gender biased approach is detrimental for the development of the society	low
people nowadays just spend one hour to prepare a meal instead of two, even three hours like in the last 10 years	with the development of science and technology, more advanced kitchen facilities, such as the modern microwaves or the advanced pressure cookers, have been created and invented to help people prepare and cook food in a very short time	high
it is certain that spending less time on cooking will be the main trend in near future	people nowadays just spend one hour to prepare a meal instead of two, even three hours like in the last 10 years	high
most of young people prefer to have meals at restaurants	they want to invest more time in their work or study to improve themselves	low
they find hard to have time to prepare and cook a meal	89% of people have come to think that, since they have been put in the situation which is filled with competitions and pressures, they have to use a lot of time to work hard, to update themselves, to acquire all kinds of skills and so on	high
most of young people prefer to have meals at restaurants	they find hard to have time to prepare and cook a meal	low
it is quite easy to have a nutritious meal with guaranteed quality, but do not waste a lot of time	along with the high living standard, requirements of quality products in almost restaurants, nowadays, are under severe control and supervision by appropriate authorities	high
it is quite easy to have a nutritious meal with guaranteed quality, but do not waste a lot of time	health and life of eaters is assured	low
investing much time in cooking food will guarantee nutrition as well as quality of food for their family	it is quite easy to have a nutritious meal with guaranteed quality, but do not waste a lot of time	low
one primary merit of traditional games is that they foster children's communication skills	communicating with a variety of people will not be an issue for these children any more	low
traditional games are still indispensible in children's learning process, even much more essential than modern games, especially in modern society	one primary merit of traditional games is that they foster children's communication skills	low
it is the educational functions traditional games hold that keep them alive today	these traditional games were elaborately devised by educators and have been proven effective in improving children's skills on different aspects in previous teaching practices	high
it is the educational functions traditional games hold that keep them alive today	there is a risk that children may be exposed to unhealthy contents, such as violence or pornography, arranged in the games by such companies to secure financial survival	low
taking care of thousands of citizens who suffer from disease or illiteracy is more urgent and pragmatic than building theaters or sports stadiums	an uneducated person may barely appreciate musicals, whereas a physical damaged person, resulting from the lack of medical treatment, may no longer participate in any sports games	low
entertaining facilities such as cinemas, theaters and sports stadiums are mostly profit-oriented	the competition among each of these facilities is an inevitable part of the free market, which should not be interfered by government	low
entertaining facilities such as cinemas, theaters and sports stadiums are mostly profit-oriented	the establishment of medical facilities or educational institutes is aimed to improve the health or education standard rather than earning profits, which deserves more funds from government	low
sectors such as medical care and education deserve more governmental support	it is a bit inappropriate to use the majority of citizens' tax funds to meet a minority of people's needs	high
in terms of time and space, technology makes it more efficient and effective to promote the traditional skills and ways of life	with the access to the internet, one of the greatest innovations in modern society, humankind can acquire the traditional techniques displayed online anytime, anywhere	low
technology enriches the way of displaying traditional cultural heritage, making it more vivid and appealing	many tourists around the world marveled at the perfect synthesis of the modern technology and the traditional culture	high
one of the major concerns against freeing artists' creation derives from the fear of social misleading which would destabilize the society	art inevitably involves imagination, exaggeration and sometimes is purely fabricated; regardless of whether the work of art is based on truth or not, it is the public's authority to determine how to interpret its meaning	high
restrictions on exposure to adolescents should apply	in the case of adults being the audience, there's really nothing to hide these negative things objectively exist on this planet and it is impossible for adults to be brain-washed only because of some pieces of creative art	high
excessive violence would offer misleading information to the public and exert detrimental influence to the society as well	it is recently reported in the news that a seventeen-year-old boy killed all his family members, one sister and two parents out of hatred and jealousy	low
excessive violence would offer misleading information to the public and exert detrimental influence to the society as well	violence, as one of the facts in the real world, certainly has to be reported	low
women nowadays are much more active, they may be successful businessmen, they join the political world, they become scientists and so on	gone are the days when women could do nothing rather than stick to boring house work and take care of children	low
such changes do lead to some negative results like an upward trend in divorce rate	children might enjoy less care from parents as they are both busy with their work	low
it seems not easy to increase petrol price instantly	governments have a macro-economic perspective to control price in various areas according to social demands	low
it seems not easy to increase petrol price instantly	pollutions are not just caused by the burning of oil, chemical pollutants, extra lights, also constitute considerable amount of pollution	low
it seems not easy to increase petrol price instantly	the improvements of work efficiency also attribute to the speed-up of working pace, resulting in traffic jams during rush-hours	low
it seems not easy to increase petrol price instantly	price control institution has been used in plenty of social areas, for example, in the farming products and in the real estate area	low
publicizing brand image or a particular product of mass media could boost sales for companies	it could simulate household spending and therefore promote the economic development of the whole country	low
exercise play a crucial role in ameliorating physical health	any kinds of sports, such as jogging, swimming, or playing basketball, can effectively facilitate human respiration and circulation system	high
exercise play a crucial role in ameliorating physical health	these sports can also strengthen muscles and lessen surplus adipose tissues in human body	high
exercise play a crucial role in ameliorating physical health	the latter one is of particular importance because nowadays more and more people are suffer from obesity	low
this hormone can delight one's mind, creating positive feelings	when people exercise, the neuron cells in the brain release a chemical compound named dopamine	high
written words are also vital in order to spread across certain messages	academic textbooks these days are laden with words besides pictures to guide the readers to comprehend better	high
statistics show a slight reduction in the number of smokers, indicating that they realize the effects of the negative habit	nowadays horrendous images are displayed on the cigarette boxes to illustrate the consequences of smoking	high
