sentence	label
now there the human subjects committee is very precise.	Statement
it is a unification base.	Dispreferred Answers
so as part of this um project we need to transcribe these meetings.	Action-directive
that uh i mean you know one could have if one had cheaper microphones than we have.	Expansions of y/n Answers
well but normalizing spectra instead of cepstra?	Hold Before Answer/Agreement
so in terms of the uh planner what's what's a good one to do?	Wh-Question
i think that'd be really interesting too with blindfolds.	Offer
were they putting down where they lived at the moment they recordings were made?	Rising Tone
actually for a lot of these people i think you could just sort of backchannel continuously.	Humorous Material
you should also have a record of what's on the board.	Offer
not eliminated entirely.	Defending/Explanation
of a big pause in between in the middle of a word.	Expansions of y/n Answers
uh what do you do over five hundred?	Floor Holder
and scale those.	Statement
oh i'd be delighted with that.	Affirmative Non-yes Answers
and in that uh regard i thought we definitely will need it'd it'd be nice for us to have a bunch of data from a few different domains or a few different kinds of meetings.	Offer
i can't answer that.	Other Answers
oh you would keep uh.	Acknowledge-answer
because it's just	Defending/Explanation
oh yeah	Accept
i mean if channel one v.a.d. gives you	Statement
what are what are some of the low level detectors that they use?	Rising Tone
it's like well uh a main server or you can do a c v s server.	Rising Tone
um you know there's this block and it goes over	Floor Holder
i always thought that was or sort of with a strange pronunciation.	Defending/Explanation
the residual error?	Understanding Check
where you take you know something about the error at the level of the word or some other it could be syllable but in some large unit.	Expansions of y/n Answers
yeah i guess i'll fiddle around yet again with the language stuff.	Commit
and i think there would be a lot more interesting data to analyze later on personally.	Statement
there are that use bad online normalization.	Statement
i don't i don't know absolutely nothing.	Other Answers
but it includes like standard corpora that have been used for years in linguistics and other fields.	Statement
i bet it it might have may have been.	Maybe
doesn't have a huge effect but it but it looks like it you know maybe could help in a couple places.	Statement
they won't	Interrupted/Abandoned/Uninterpretable
and again we'll have to do layout at some point.	Commit
well yeah these numbers i mean.	Floor Grabber
since we don't have enough data yet.	Expansions of y/n Answers
the point we where do we get the the the oracle boundaries from?	Wh-Question
because doesn't work uh when you uh you try to to to to do an a dated access to to a file a big file uh uh moving the the head of the in the hard disk uh forward and backward a lot of time	Statement
and if the chunked files focused on the dominant speakers then when when it got patched together when it comes back from i b m we can add the backchannels.	Offer
well i mean one thing you could search for is were people laughing a lot.	Statement
yeah i was just going to ask the same thing.	Accept
and just listen to them.	Understanding Check
when you train on macrophone it seems better on meeting digits.	Expansions of y/n Answers
right just groupings in terms of number of groups in a line.	Accept
that's very strange.	Assessment/Appreciation
i mean i can tell you i just don't know off the top of my head.	Other Answers
my	Signal-non-understanding
which is a zero twenty.	Expansions of y/n Answers
yeah they have to do their digits or they don't get they don't get their food.	Action-directive
well we when we when we discussed it it was it was where where you lived during your childhood and adolescence.	Statement
i i i'm i was sort of serious.	Downplayer
or should we give it to them and let them do with it what they can?	Or-Clause
i mean you want you want it for every place that's voiced.	Affirmative Non-yes Answers
right so you could do something like uh	Floor Grabber
this is fine with me.	Affirmative Non-yes Answers
i'm i'm sorry i'm interrupting that.	Apology
yeah like like the same meeting shortened files that we pull off of popcorn when we're done doing the recording looked to the backup software as if they had been written you know every single night for you know a week in a row.	Floor Grabber
and then you got the the different channels come out.	Statement
when the speech when the signal level is more important compared to this noise level the coefficient is small and around one.	Rising Tone
so so i i think that probably as good an introduction as you'll get.	Rising Tone
and he says wiener filter is is forty milliseconds delay.	Statement
yeah good idea.	Accept
okay so we were on the data collection and the summary issue.	Floor Grabber
so what's what's happened?	Rising Tone
because it means that somebody's about to interject something.	Defending/Explanation
system	Rising Tone
well i figured that.	Rising Tone
how would you imagine doing a test set on this corpus?	Wh-Question
and the properties are filled in uh from ontology items.	Statement
but i think having the the idea of the computer sort of in there forces you to create a a log file format that can handle these other devices.	Offer
we should do that.	Offer
correlation yeah.	Acknowledge-answer
maybe for that.	Statement
based on the	Yes-No-question
you have a question?	Declarative-Question
l p c?	Signal-non-understanding
too much caffeine.	Humorous Material
and they have a whole bunch of tools that are associated with them.	Statement
is better?	Understanding Check
that's not a bad idea.	Assessment/Appreciation
that's actually being that's one of the problems that's being addressed at this year's evaluation.	Expansions of y/n Answers
that you did have nice interpolative effects.	Statement
or window it.	Offer
i mean someone's going to have to pass through either a higher level person will have to pass through or you have to be sure you get good quality to begin with.	Defending/Explanation
i mean it it'd be really great if it was all automatic but i think that you know given the pressure of time if	Floor Grabber
i mean so this is like the noise compensation is fixed.	Statement
oh no i'm so sorry.	Apology
and he worked on non stationary noises.	Statement
given that for example the data says you know a v a e or something.	Statement
so i have a question about queries.	About-task
you you do need to figure out the number of speakers in the waveform.	Statement
which is more like you know close to in meetings like these uh you know close to twenty percent.	Expansions of y/n Answers
like the beginning of an utterance.	Expansions of y/n Answers
um i'm not sure what to do about action items for the data stuff.	Other Answers
yourself?	Declarative-Question
is that um basically the way online normalization was done uh is just using this recursion on on the um um on the feature stream.	Rising Tone
did they discuss any of that in the the meeting they had with liberman?	Yes-No-question
being totally monolingual i'm not the right person to ask to talk about this.	Downplayer
but now i'm i'm just used to it.	Downplayer
will we have	Rising Tone
okay wonderful.	Acknowledge-answer
actually i use something like this on on the telephone and it's very comfortable.	Statement
yeah it might be.	Accept
was it in the uh recurrent neural nets where they weren't looking ahead at all?	Rising Tone
so we just put in an order for about twelve new machines uh to use as sort of a compute farm.	Statement
so in fact it's a little hard because recognizers to first order sort of work.	Floor Holder
uh one one last question on that.	Affirmative Non-yes Answers
and so in principle you if you remove that source then you know you can	Statement
so that you can adjust it to sort of any any any one of a dozen ways that people have done this kind of thing.	Statement
well then you can go to the points where the you could actually go to those points in time.	Floor Grabber
what are we talking about today?	Wh-Question
uh i i don't know.	Other Answers
there's the v a d issue.	Expansions of y/n Answers
so the next thing maybe i what i will try to to do is just to try to smooth huh the um to smooth the the result of the subtraction.	Commit
right i mean	Acknowledge-answer
because you know the time it takes is you listen to it and then you press the return key.	Defending/Explanation
however people also sometimes say how do i get there.	Statement
yeah the you know the reason that he uh just used silence was not because he thought it was better it was it was it was the place he was starting.	Floor Grabber
i guess it depends partly on the type of interruption.	Statement
to the language model model.	Statement
the boxes are cheap.	Expansions of y/n Answers
uh i started multi band m l p trainings.	Rising Tone
wi	Interrupted/Abandoned/Uninterpretable
i just drag the line.	Mimic Other
or is it that we get for each each decision on the very bottom we sort of get the sub e sub d sub u and maybe a sub o o for ontology um meta node?	Or-Clause
yeah this could be	Acknowledge-answer
and then jose responds.	Statement
they didn't have to collect it.	Rising Tone
oh the one is this one is just the baseline plus the uh wiener filter plugged into it.	Acknowledge-answer
i just have no preference.	Statement
and then especially if you've got a pause following it.	Statement
and the new online normalization neither.	Statement
and that's the result basically that o g i has also with the m f c c with online normalization.	Rising Tone
with nothing.	Collaborative Completion
you know which sets of things are uh relevant to which decisions.	Expansions of y/n Answers
what is the plan?	About-task
i i agree that it's an issue here but it's also an issue for switchboard.	Statement
not being morgan though it's	Defending/Explanation
and have you looked	Yes-No-question
i've been playing with this wiener filter like.	Topic Change
yeah yeah we have to sort of figure out what we're going to do.	Accept
what about that error that that uh the the supposed	Wh-Question
weren't we going to take a picture at the beginning of each of these meetings?	Rising Tone
because that was the that was the reason why i was not getting a lot of improvement for estimating the noise.	Defending/Explanation
it's a bunch of like four people discussing.	Defending/Explanation
you could see the contribution of the air conditioning.	Defending/Explanation
did you do similarly in performance between them and the other meetings?	Rising Tone
or the right the right range.	Misspeak Self-Correction
so again i think the first thing to do to detect the overlaps is to look at these uh in in in in	Floor Holder
is is yours working there chuck?	Rising Tone
oh thank you!	Exclamation
um and i don't know if that i mean since you're dealing with issues of robustness you know maybe maybe this isn't right but it'd be something i'd be concerned about.	Floor Holder
and they look fine to me.	Assessment/Appreciation
you always want to have a little bit of pause or nonspeech around the speech say for recognition purposes.	Defending/Explanation
so it could be that it's not actually wired backwards.	Defending/Explanation
you know cross talk cancellation.	Expansions of y/n Answers
does building queries based on what's important now introduce an irreversible bias on being able to do what morgan wants to do later?	Yes-No-question
and i don't worry about layout.	Action-directive
because you you don't have a true estimate of the noise.	Defending/Explanation
yes yeah i mean it can't be compared with the other.	Floor Grabber
let's say ten.	Action-directive
so if you don't have to adjust the bins why not just do what it for all the channels?	Offer
we're we're we're getting enough data now that i'd sort of like to do it now before i get overwhelmed with once we decide how to do it.	Offer
but but regardless it's going to it's hard to compare cross corpus.	Statement
and given given that we've got a wireless that we've got a we got the field.	Statement
do we explicitly downsample?	Misspeak Self-Correction
uh does it have a speaker?	Rising Tone
it's just sort of that the the background acoustic.	Defending/Explanation
uh i think to know what it's to have a better feeling for what it's doing you want to look at it.	Offer
we we will try m s g.	Rising Tone
so uh since uh we didn't get a channel on for you you don't have to read any digits.	Floor Holder
and maybe maybe they	Statement
still institutionally second?	Declarative-Question
that that's the six tables that we're looking at.	Statement
well you're not doing the l p c	Dispreferred Answers
but you could always post hoc label them.	Offer
so you you cache the utterances?	Understanding Check
like by the time he graduates.	Expansions of y/n Answers
but i guess it's still within their rules to have have it on the uh uh server side.	Understanding Check
nothing else?	Declarative-Question
but but my main goal was um in these areas where you have a three way overlap and one of the overlaps involves yeah and it's swimming in this huge bin i wanted to get it so that it was more closely localized.	Statement
with respect to the features.	Statement
yeah actually the way the final score is computed is quite funny.	Rising Tone
but it hasn't been our dominant way of of operating anything.	Expansions of y/n Answers
somewhat although what's interesting is that the majority of the words in the language model are actually	Accept-part
oh that's better.	Statement
um but um uh	Floor Holder
all today huh?	Understanding Check
yes in this case	Floor Grabber
because it's hard to sit there and see like but don't you see you're being rude to this person you're cutting off this person.	Defending/Explanation
well the other thing too is i mean if if you have the equipment then it could be different.	Statement
so try to pick things that other people didn't say.	Expansions of y/n Answers
this one being different.	Downplayer
oder there was an talk?	Rising Tone
and then there's a third thing.	Rising Tone
yeah the the reason why we did it that way as a as a reminder is uh no person is going to do all of them.	Floor Grabber
you know these don't necessarily have to be more complex than like the out of construction in the b c p paper where it's just like you know half a page on each one or something.	Understanding Check
i'm doing it from my perspective.	Defending/Explanation
uh i think they will send um files.	Hold Before Answer/Agreement
and then the next thing we talked about was the was the summaries.	Statement
well i i've been i've been training a new v a d and a new feature net.	Rising Tone
do a listing of them.	Statement
yeah to me it's like a vocal shrug.	Assessment/Appreciation
what's the problem the i forget.	Statement
shrink in them or whatever.	Collaborative Completion
i noticed that in the pictures.	Affirmative Non-yes Answers
i i want to think about it.	Statement
all right everybody's laughing.	Acknowledge-answer
yeah i'm sure it's	Acknowledge-answer
yeah so twenty percent error rate on digits.	Floor Grabber
even if we don't make any decisions we'll have a lot of data.	Defending/Explanation
i'm worried that if you did even if you did push them into it it it it might be semi random.	Statement
so the other topic with digits is uh	About-task
yeah we filter all that out.	Floor Grabber
technical discussions you don't usually have somebody taking notes.	Expansions of y/n Answers
are you going to have the audio on the web site?	Rising Tone
yeah eighty or ninety for the shures.	Accept
because we have fast computers and picking the thing that has the best word error rate.	Defending/Explanation
what what model?	Signal-non-understanding
because we don't didn't looked that much at that.	Defending/Explanation
uh it wasn't a pure task the first time.	Defending/Explanation
uh i'm waiting there was one problem with part of it.	Statement
well maybe it's because they don't realize that you're supposed to	Statement
well it's useless for this function.	Accept-part
we could change a smaller disk for a larger one.	Offer
did did that help at all?	Rising Tone
then they will just fill fill it up.	Statement
but let's let's consider what that means.	Rising Tone
i think you got to have somebody who knows the knows the topic or you know whose job it is delegated to be the note taker.	Defending/Explanation
well that i think someone internal to the meeting could do after the fact.	Offer
uh yeah yeah yeah yeah.	Accept
but it's um	Statement
uh there's	Interrupted/Abandoned/Uninterpretable
but in any case i didn't mark those.	Statement
i don't remember	Other Answers
i and when i tell people what i do here	Statement
did anybody else here do that?	Rising Tone
you know they have channel adaptation.	Expansions of y/n Answers
cha-ching!	Exclamation
or maybe	Interrupted/Abandoned/Uninterpretable
so the other uh aurora thing maybe is	About-task
even lip movement and things like that.	Expansions of y/n Answers
any any questions?	Declarative-Question
do they end all them all in dots?	Yes-No-question
to tell them how much you enjoyed it.	Expansions of y/n Answers
so if there was a segment of speech this long	Statement
and it would pretty much be fine.	Humorous Material
uh all this study in the in the first moment i i i i will pretend to do with uh uh equalizes speech the the equalizes speech the speech uh the mixes of speech.	Commit
she's already done quite a bit.	Dispreferred Answers
yeah when hell yep we'll do it when hell freezes over.	Accept
and subtract it.	Expansions of y/n Answers
because we can't do too much you know on in terms of recognition results knowing that this is a big problem.	Defending/Explanation
you know in writing you have this two spaces and a big gap.	Statement
so people sitting here are going testing one two three.	Expansions of y/n Answers
which you know it's a device which will record onto tape uh multiple channels.	Defending/Explanation
that'd be excellent.	Assessment/Appreciation
is this t.i. digits?	Rising Tone
and then separate the next.	Offer
so the let's take the case of the uh this endpoint thing.	Action-directive
but sorry.	Apology
we could just do it through these.	Statement
and then this sound must be this sound.	Statement
so at any rate jane was looking into the possibility of getting students.	Floor Grabber
it's still it's interesting for other reasons.	Defending/Explanation
is if if you have a good voice activity detector isn't isn't it going to pull that out?	Rising Tone
is it the french one?	Rising Tone
but if you put optional won't they just leave it blank rather than lie?	Rising Tone
i'm i'm open to that.	Affirmative Non-yes Answers
constant volume all the time.	Expansions of y/n Answers
which i've just started yesterday to launch a bunch of uh twenty five experiments.	Expansions of y/n Answers
and um okay.	Floor Holder
but what we should be able to do	Statement
because you know i i'm privy to information which really by all rights i shouldn't be.	Defending/Explanation
but the guenter's argument is like if it is a non stationary segment then he doesn't update the noise spectrum.	Defending/Explanation
yeah i guess you first you have to do the first one.	Floor Grabber
it's just disturbing.	Assessment/Appreciation
whereas thilo's won't have that.	Statement
which would be my guess.	Statement
i mean do you think that um that uh maybe	Yes-No-question
oh does	Acknowledge-answer
but what what was your result for uh that we had at the h l t?	Wh-Question
which one do you use jim?	Wh-Question
like so these things are like having a better v.a.d.	Statement
this is the same same company that may be doing the transcripts for us.	Statement
um and also we're we're using a couple of the labelers who are doing emotion to help us um finalize some transcripts for this.	Floor Holder
cubic root of power spectrum.	Mimic Other
there's just more variety.	Defending/Explanation
but it certainly was still uh an indication of the fact that you get noise with distant mikes.	Statement
it's going to be very hard to be comparable.	Defending/Explanation
well after that.	Self-talk
and and crinkle them and	Collaborative Completion
um and if other people are laughing then i'll usually give them and say that they're laughing.	Floor Holder
uh dave gelbart sent me email i think he sent it to you too that um there's a special topic section in in eurospeech on new corpora.	Floor Grabber
well don't you	Rising Tone
it wasn't there?	Tag-Question
that's what spectral subtraction will help with practically speaking.	Expansions of y/n Answers
yeah but one one dimension.	Accept-part
or twenty to twenty five frames.	Offer
you understand what i'm	Declarative-Question
spatial organization.	Expansions of y/n Answers
but after we've done thilo's thing.	Understanding Check
it's spread out.	Statement
so you could get those going while dave is um creating waveforms for the re training the short male models.	Offer
but it's really good.	Assessment/Appreciation
like you know morgan will be on jane's channel.	Expansions of y/n Answers
so is it just one cluster per	Expansions of y/n Answers
i think we can discuss everything.	About-task
spectral subtraction i guess.	Maybe
i think maybe if we wanted to do that we would do it as a separate session.	Offer
another thing i like about it is that you this thing is going to be trained explicitly trained for a product of errors rule.	Statement
but so the syllables were in the same order with respect to each other but the	Understanding Check
but but but so	Floor Grabber
awesome.	Assessment/Appreciation
they used mumble for	Understanding Check
huh well we can do the frame dropping on the server side.	Hold Before Answer/Agreement
this is this is a new experience.	Statement
no you get it with wiener filtering also.	Reject
it it's wiener filtering.	Dispreferred Answers
i had another thought just now.	Statement
possibly it's been like four months.	Maybe
that's partly a nonnative-native thing.	Statement
and um um anticipating the end of a question and simply answering it earlier.	Floor Holder
and so they just write it as a breath when it's clearly not a breath.	Rising Tone
when hynek's had people do this kind of l.d.a. analysis they've done it on frequency direction.	Statement
i mean that was the main visual thing that i noticed.	Statement
and overlap or not.	Collaborative Completion
no no we definitely would not have the user fill it out.	Reject
yeah i figured that they didn't.	Affirmative Non-yes Answers
but i think uh that's that's a question for this uh you know extending the feature vector versus having different streams.	Statement
or or if it's	Interrupted/Abandoned/Uninterpretable
web site's what?	Declarative-Question
but um i don't know how they uh actually went about.	Floor Holder
were we going to do digits?	Rising Tone
we don't need x. access.	Dispreferred Answers
he says that uh in german selbst is used in two different ways.	Statement
so another one of these primitive what are called image schemas is uh goal seeking.	Statement
if you go and take any recognizer that's already out there and you say how well is it distinguishing between schwas and stops.	Statement
you mean just a a z square?	Understanding Check
uh why don't we do it together?	Offer
what do you call it?	Wh-Question
but how do we how do we do that for the i b m folks?	Wh-Question
are there currently is uh	Yes-No-question
even with very minor	Expansions of y/n Answers
for some of it.	Accept-part
i think partly because i want to make sure that people know that my my thought my utterance is finished.	Defending/Explanation
so that's i mean i could there were other checks that i did.	About-task
we're not trying to generate good examples.	Defending/Explanation
huge amounts.	Expansions of y/n Answers
uh we should be going.	Statement
you probably wouldn't ordinarily.	Repeat
depending on if we put if we square the transfer function or not.	Expansions of y/n Answers
but i've never downloaded it.	Downplayer
i'm fine.	Affirmative Non-yes Answers
because we change it the system to have	Defending/Explanation
except for the one that they've already tightened the boundaries on.	Statement
actually just to be some more	Floor Grabber
so you take sixty four millisecond f.f.t.'s and then you average them over five hundred?	Understanding Check
that's true that's very true.	Accept
i mean it's not to say i mean i certainly think it's extremely and we we humans depend on you know these these binaural cues.	Statement
i one less action item.	About-task
bicycles should be in there.	Acknowledge-answer
because you don't have that wasted that extra copy.	Defending/Explanation
which is sixty four millisecond.	Expansions of y/n Answers
because of singing.	Defending/Explanation
um about um articulatory stuff.	Rising Tone
for both.	Acknowledge-answer
well i mean they're coming in april.	Hold Before Answer/Agreement
i i i mean i guess what what i i keep coming back to in my own mind is that um the soonest we can do it we need to get up some kind of system.	Offer
and what and what's o g i forty five?	Wh-Question
and of course potentially they're codable.	Statement
well then at least now.	Affirmative Non-yes Answers
though the one i'm working on now is like that.	Statement
large vocabulary continuous speech using switchboard uh switchboard recognizer.	Expansions of y/n Answers
uh the one was that the just the the amount of overlap.	Floor Holder
so it was unvoiced.	Expansions of y/n Answers
and some of the issues that i've been running into are um exactly what what kind of acoustic events i need.	Statement
yeah depending on their auditory um capabilities.	Accept
which i think is self reflexive in in the sort of brings focus back onto the jokemaker.	Expansions of y/n Answers
so these offices are being uh very busy.	Assessment/Appreciation
could i do that next week maybe?	Offer
so is the idea you're going to do this paper?	Understanding Check
nnn we don't know exactly.	Negative Non-no Answers
but it it doesn't take it like beyond like thirty percent over the baseline.	Defending/Explanation
but who is it that has to care about this?	Wh-Question
did you have to re nice one of the processes to make sure that shorten?	Yes-No-question
but she'll she'll say something technical and then laugh.	Expansions of y/n Answers
right sure.	Acknowledge-answer
right well i think being being in a common organization was one i hadn't thought of that	Floor Grabber
what time is it?	Wh-Question
yeah breath laughs especially.	Accept
seventeen.	Negative Non-no Answers
a person i don't think a person can tell the difference between uh you know a quarter of a second and a hundred milliseconds.	Statement
even if you normalize it based on the absolute loudness.	Statement
but in any case the idea is that you have ground truth.	Defending/Explanation
or you know have you lived in the america in a an english country before.	Offer
we're still here.	3rd-party-talk
so that's all it is.	Expansions of y/n Answers
let let let me rephrase what i'm saying because i don't think i'm getting it across.	Commit
so when you say we is that something sunil is doing?	Rising Tone
what does solo mean?	Wh-Question
so like like it's like	Interrupted/Abandoned/Uninterpretable
those are intimidating.	Assessment/Appreciation
if you have two channels.	Expansions of y/n Answers
i mean i think both of their systems probably	Statement
where did you copy it to?	Wh-Question
they're not close talk mike.	Statement
it should be.	Affirmative Non-yes Answers
did you add this data to the training set for the aurora?	Rising Tone
uh is that like someone's like burning or some such thing?	Rising Tone
and it's better for for meetings where nobody is breathing.	Accept-part
because this method might estimate the mean badly if it had to face long silence periods.	Defending/Explanation
you have to turn off your mike.	Statement
like morfix?	Declarative-Question
do they subtract the max from each one or do they subtract each one from the max?	Or-Question
uh i i did some years ago.	Floor Holder
but i all i could i couldn't find it at the local store.	Statement
and he requested that there be uh similar uh samples done for five minute stretches involving a variety of speakers and overlapping sections.	Statement
god that's bugging me.	3rd-party-talk
well what happened is that we we bought all our racks and disks from andatico for years according to dave.	Statement
so i'll i'll send him email.	Commit
just mel cepstra.	Statement
bhaskara?	3rd-party-talk
and maybe this is um more adequate for english.	Rising Tone
or just leave it as fascinating?	Rising Tone
like adam?	Understanding Check
the the the whole saved the saved format and the internal format all that stuff handles multiple speakers.	Statement
so that wouldn't be a summary.	Statement
um unless you think that the crosspads are going to	Floor Holder
so so um in parallel uh three things are going to happen.	Statement
do we care?	Yes-No-question
but if they're saying or in a reduced way so it comes out as uh do it as or.	Offer
because i because it certainly always helped us before.	Defending/Explanation
but he's putting in something.	Statement
uh with different uh values for the parameters that are used.	Floor Holder
most improvements aren't enormous.	Statement
the the ultimate goal is that before they leave we we can run through the entire system input through output on at least one or two sample things.	Rising Tone
who's going to be the steve here?	Wh-Question
yeah let me go back a little bit.	Acknowledge-answer
you know maybe if if we have common transcription standards and you know that it's all transcribed.	Defending/Explanation
i also think that again once we got into it that um using some kind of clustering would probably work reasonably well there too.	Downplayer
and they say that's really fascinating.	Assessment/Appreciation
and if it got touched it would it would send an impulse.	Statement
and also the political	Statement
and we have any number of channels available.	Expansions of y/n Answers
what else is going on?	Topic Change
oh did you?	Rhetorical-Question
and i can send an email around.	Offer
it's hard to figure out what they're what they're talking about.	Defending/Explanation
guess.	Collaborative Completion
where he's saying well the first point i want to make is so-and-so.	Statement
because that doesn't do any harm.	Defending/Explanation
or are	Or-Clause
people who show up late have to use these.	Statement
yes it could be.	Maybe
some something to improve s.n.r.a. little bit first stage.	Offer
i don't know what they do.	Other Answers
good idea but can't do it.	Assessment/Appreciation
on digits.	Mimic Other
so region with respect to a time frame is what i would suggest.	Offer
so when she gets here maybe that might be a good thing for her.	Offer
wait what's a p h d?	Action-directive
drunk.	Collaborative Completion
the time of day.	Collaborative Completion
for for whatever that's worth.	Downplayer
oh about how much is it?	Rising Tone
it's just i mean try to do it.	Offer
but i just thought that was a little odd.	Rising Tone
uh if on the other hand we show that there's a huge advantage with two well then that could be a real point.	Floor Holder
that's sixteen.	Negative Non-no Answers
the i guess the major risk you have there of being is being dependent on very dependent on the kind of noise and and so forth.	Statement
but maybe it's funny for some sort of perverse reason.	Rising Tone
yeah so so they're really going to have a huge	Floor Grabber
i just wanted to get it so so that if you have like yeah in a swimming in a big bin then it's	Defending/Explanation
so that you know it's diagonal but the diagonal means that then you're going to it's going to it's going to internally multiply it and and uh uh it uh implicitly exponentiated to get probabilities and so it's it's going to it's it's going to affect the range of things if you change the change the variances of some of the features.	Statement
but that's what i mean.	Statement
i guess because everyone's been out of town.	Maybe
because that's just one person's perception.	Defending/Explanation
you don't know how much it's	Statement
and and then early next week do these.	Offer
computer show me a web page on x. return.	Statement
yeah at first i had a remark.	Floor Grabber
they're designed for um for phoneme level.	Statement
what kind of numbers are they getting on these on the test conditions?	Wh-Question
their uh l v c s r system.	Expansions of y/n Answers
oh can you bring them up from the	Yes-No-question
in terms of in terms of number of words.	Expansions of y/n Answers
that's the text encoding initiative.	Rising Tone
yeah there's a	Accept
yeah the backspace is in the wrong place.	Accept
so i mean it can work off the uh other thing.	Statement
let let the record show that this is exhibit two b. .	Action-directive
sip sigh.	Statement
which is really weird.	Assessment/Appreciation
um we had what looked like a good result in digits but but then when we went to more training data that kind of went away.	Statement
but uh i don't think that they'll necessarily you'll you'll get many people willing to stay.	Statement
one is do we need to sign new these again?	Rising Tone
yeah so it sounds like yeah the net corrects some of the problems with some poor normalization.	Floor Grabber
with a the mix mix.	Repeat
these aren't large vocabulary things.	Defending/Explanation
well it's it's where you lived.	Statement
yeah i didn't use it very often.	Accept
and then we have somebody go and adjust all the time boundaries.	Offer
yeah i think that's really important.	Floor Grabber
but come come back to me.	Action-directive
yeah i remember that.	Acknowledge-answer
but i mean it seems to me that at least for us we can learn to read them as digits.	Defending/Explanation
you should have seen the one that got away?	Understanding Check
the the question are what are what would the categories be?	Rhetorical-Question
uh they don't all work as well do they?	Assessment/Appreciation
and we'll download them and try them out.	Commit
what are you saying?	Wh-Question
and once you've got those things then you can start your processing.	Understanding Check
i didn't know that you could whistle that.	3rd-party-talk
that's that's a great idea.	Assessment/Appreciation
the linguine is okay.	Affirmative Non-yes Answers
yep so they won't shorten nearly as well.	Accept
yeah once you get to the publication you can certainly do that.	Affirmative Non-yes Answers
so that shows that when the s n r decrease uh the current v a d approach doesn't drop much frames for some particular noises.	Expansions of y/n Answers
why not?	Rising Tone
i know in the meeting like.	Negative Non-no Answers
i was just if you wanted to pay attention to more than one you could pass a a weighting system though too.	Statement
ruff ruff!	Exclamation
were you talking about what new stuff?	Rising Tone
yeah my feeling is that um actually when we look at all the proposals everybody is still using some kind of spectral envelope.	Floor Grabber
castillian.	Mimic Other
we're we're hoping to just bring in different groups of three people apiece.	Defending/Explanation
