sentence	label
that, that would be the problem. sure would.	Agree/Accept
and that helped, you think?	Yes-No-Question
not right now,	Negative Non-no Answers
and there is, there is, uh,	Uninterpretable
well, how did you get a recipe for pudding on your own?	Wh-Question
so do you, do you have a favorite for the series or anything?	Yes-No-Question
and, uh, i'd, i'd really like to have a car that's dependable that, that you drive, you know, like a american made car that's as dependable as mercedes or somebody, you know that's,	Statement-non-opinion
oh, i love animals.	Affirmative Non-yes Answers
in the same pot,	Collaborative Completion
and so we took two kids with us	Statement-non-opinion
so, uh, it just didn't work out to do that now.	Statement-non-opinion
what kind of cloth uses that.	Self-talk
well, that's the two states that adopt on a state wide basis.	Negative Non-no Answers
you, too, tonya .	Conventional-closing
isn't that amazing,	Backchannel in Question Form
visit.	Collaborative Completion
we've got some good, um, um, hybrid burpee uh uh, pickler cucumbers	Statement-non-opinion
and part of it's the, the family, i think,	Statement-opinion
anyway, i appreciate it.	Conventional-closing
well, it's been some interesting subjects,	Conventional-closing
so how serious is the, subject of crime in your area?	Open-Question
what, what kind of, uh, uh,	Uninterpretable
oh, oklahoma of all places.	Appreciation
and then you stopped them all.	Declarative Yes-No-Question
and they marked off routes that they could go or something	Yes-No-Question
i have a recipe if you want	Offers, Options Commits
oh, that sounds good	Appreciation
i appreciate the call, though.	Conventional-closing
and yours is at, you know, eighteen or nineteen percent.	Quotation
a sabbatical	Declarative Yes-No-Question
are the two boys first?	Yes-No-Question
what kind of mix do you have?	Wh-Question
and you put it on a really low heat.	Action-directive
sh ,	Uninterpretable
you know, you've got ,	Uninterpretable
when he's ,	Uninterpretable
but, if, you know,	Uninterpretable
are we going to lose more lives there?	Yes-No-Question
uh, into savings.	Summarize/Reformulate
do you  enjoy cooking?	Yes-No-Question
a, a three twenty-eight g t s?	Yes-No-Question
it's just to, uh, uh, get up the money in advance and put it in, uh, uh, so long as it wasn't you know, unreasonably high, but for things like food expenses or whatever. just put it in uh in an envelope or whatever if the entertainment amount was gone for the month say, oh, it's gone	Statement-non-opinion
it has nothing to do with us.	Statement-opinion
awesome.	Appreciation
the thing is, though, i, i didn't think even if it was a lower conviction, i didn't think that you could, uh, i didn't think that you really had to have a, a jury	Statement-non-opinion
uh, true.	Agree/Accept
oh, it did,	Affirmative Non-yes Answers
what, black ones?	Yes-No-Question
and what do they say about finding adequate child care?	Wh-Question
what's your house like?	Wh-Question
i mean  know	Uninterpretable
tobogganing.	Action-directive
and you just need to take the little one. show them all the, all the pretties before they go away.	Action-directive
do you have enough bedroom space, then?	Yes-No-Question
how was,	Uninterpretable
let me push one here	Offers, Options Commits
or did you have to do it the same every week?	Or-Clause
that, that's the,	Uninterpretable
it just depends.	Statement-non-opinion
really does.	Agree/Accept
sorry about that,	Apology
iowa and other cities like that, it's a nickel per aluminum can.	Statement-non-opinion
or just a  an innocent bystander or somebody got actually beat to death or what.	Yes-No-Question
which is the one that has modular type seats?	Wh-Question
or, you know, i don't know,	Hedge
i mean, and,	Uninterpretable
and now i,	Uninterpretable
if like	Uninterpretable
well, are you married	Yes-No-Question
when it's on the line.	Collaborative Completion
so the next year when she, you know, weeded them out so they wouldn't be as thick, then she'd give me some of the bulbs.	Statement-non-opinion
because, because,	Uninterpretable
and there's a lot of places there you can go, you know.	Statement-non-opinion
uh-huh and clicking noises in	Acknowledge (Backchannel)
and he, he did the digging,  which  was about six inches,	Statement-non-opinion
he,  uh, um,	Uninterpretable
shapers and planers and routers.	Other
i didn't quite understand it.	Hedge
but, uh, it's just that, uh, they're, eh,	Statement-opinion
well, i have enjoyed talking to you, too.	Conventional-closing
and i thought, well now, here you have a student who is trying to pass, who is struggling with your subject	Statement-non-opinion
they've, decide the penalty separately from the verdict.	Declarative Yes-No-Question
seems like a nice place to go	Statement-opinion
oh, what luck.	Appreciation
stick shift,	Repeat-phrase
huh. which is,	Uninterpretable
but i think we've, we've talked long enough.	Conventional-closing
does he bring a little one home with him	Yes-No-Question
oh, that's nice	Appreciation
you know, how some older women will get the big bulge right in the middle.	Declarative Yes-No-Question
i, i get that sometimes, um,	Statement-non-opinion
oh, i don't,	Uninterpretable
off okay.	3rd-party-talk
i, i just, uh we just really	Uninterpretable
so, and it.	Uninterpretable
what can we do?	Rhetorical-Question
and they're going to land in other places,	Statement-non-opinion
well then they consider it a hung jury, i i think	Statement-opinion
i'm over here in plano, texas.	Statement-non-opinion
oh, only one a day.	Response Acknowledgement
so why  not pay industry.	Rhetorical-Question
start up.	Collaborative Completion
in aerobics?	Yes-No-Question
uh, it was always my mother's fault, she was not, uh, sufficient, you know, she just was not good enough.	Statement-non-opinion
and  yeah.	Uninterpretable
so, well it's, it was a good plan but i haven't yet	Negative Non-no Answers
have you made them?	Yes-No-Question
well, that's real good.	Appreciation
oh, well, good.	Appreciation
get together any more.	Collaborative Completion
i've worked on that with a little chewing gum, which i shouldn't do, uh,	Statement-non-opinion
well, what movies are you looking forward to seeing now?	Wh-Question
uh, that shamir can't, can't retain his leadership if he, if he backs down the slightest bit	Statement-opinion
you're  looking at,	Uninterpretable
well, didn't he just sign a twelve year contract with the rangers?	Yes-No-Question
you should put ten to fifteen percent of your monthly bring home in some sort of savings account.	Action-directive
take everybody,	Collaborative Completion
and loud.	Declarative Yes-No-Question
oh, where do you go to college?	Wh-Question
and, if you have to have it in a hurry, something's wrong	Statement-opinion
how much benefit, it'll do them in the long run?	Rhetorical-Question
well, my, my, uh, two of my, uh,	Uninterpretable
curbside pick up?	Declarative Yes-No-Question
but you're married?	Declarative Yes-No-Question
put some fresh, little fresh shrimp	Action-directive
i don't know though.	Hedge
um, does, is this something that concerns you?	Yes-No-Question
i, i do not really know that they have the answers in those books.	Hedge
maybe that's it,	Maybe/Accept-part
well, i was, it was favorable.	Dispreferred Answers
like in a room filled with what do you think about the benefits in jobs?	Open-Question
so, uh, how would you improve upon that?	Open-Question
because we see we see all the time, the outcome of not doing that	Statement-opinion
they're, uh, they're, they're every bit, uh,	Uninterpretable
she just eats weird.	Statement-non-opinion
and they sort of don't care about anything and just want to go ahead an,	Statement-opinion
but, you understand, it's, i guess it's a principle of giving and receiving.	Statement-opinion
you call me one more time, i'm going to stop subscribing	Quotation
and  uh, but it, but you're right from the standpoint that people do have a negative attitude towards politicians.	Agree/Accept
maybe that is, that's part of it.	Action-directive
if it could just be spread out a little bit.	Statement-opinion
we didn't have anyone in town that was our family.	Statement-non-opinion
because that kind of moderates the weather a little bit?	Declarative Yes-No-Question
and the kinds of knowledge that, uh, you know,	Uninterpretable
i mean, i do not, i do not know how it is in the air force base.	Declarative Wh-Question
are you living with a bunch of, with, with people that you're sharing expenses?	Yes-No-Question
but like,	Uninterpretable
i guess it's a rental.	Declarative Yes-No-Question
but, if people don't use the telephone,	Uninterpretable
schedule vacation  time	Acknowledge (Backchannel)
now let me ask you this.	Action-directive
and we wanted to be able to go in and have our teeth cleaned and just checked all over	Uninterpretable
did you  say romania or armenia?	Yes-No-Question
uh, oh yeah,	Yes Answers
and, uh, his adaptations are usually really good.	Statement-opinion
and then put that back in the saucepan?	Declarative Yes-No-Question
well, you, you should have a lot of information on a budget, then, if you're, uh,	Declarative Yes-No-Question
no thanks,	Downplayer
like, so you're in the marching band and stuff in high school.	Declarative Yes-No-Question
his lips are moving.	Quotation
how about your community?	Open-Question
or, god knows what.	Rhetorical-Question
how long have you had them.	Declarative Wh-Question
some of the things in it are mindless,	Statement-opinion
you know, that's true.	Agree/Accept
huh, interesting.	Appreciation
so you can afford to pay the insurance, you know	Quotation
i think it's, when it's good, it's just a scream.	Statement-non-opinion
we had one guy that couldn't throw	Statement-non-opinion
oh it's,	Uninterpretable
i think it is, too.	Agree/Accept
see i agree with you.	Agree/Accept
is, we want industry to take, you know, more responsibility in taking care of it.	Statement-non-opinion
well, it, you know,	Uninterpretable
i think, yeah,	Affirmative Non-yes Answers
oh, compared to new york, oh,	Collaborative Completion
but, and that's kind of blood and guts, isn't it.	Yes-No-Question
so anything else you cook	Open-Question
or do you feel there's just going to be a big push to, uh you know, for, for more, more and more day care type situations?	Or-Clause
but you could put them in one of these cribs and then roll the crib out i guess.	Summarize/Reformulate
i see his name	Hold Before Answer/Agreement
we have a separate area for the garden.	Statement-non-opinion
do you like your job?	Yes-No-Question
ooh, neat.	Appreciation
and i'm calling from garland, texas.	Conventional-opening
but i guess that you don't want to overdo.	Statement-opinion
do you think he won from carter because of the, um, the hostages that were held at that time?	Yes-No-Question
this is great.	Appreciation
so, do you ...	Uninterpretable
well, the one i think is interesting is the california, los angeles police chief who says he won't resign.	Affirmative Non-yes Answers
we could, um, link in,	Statement-non-opinion
put them in salad,	Agree/Accept
but it's too hot to be working in the yard.	Quotation
so it's not all stuff that t i makes.	Yes-No-Question
do you, do you cook for a hobby	Yes-No-Question
you wonder how in the world they ever got them to do some of these things.	Statement-non-opinion
i'm glad,	Uninterpretable
that's what he was being paid, you know,	Statement-non-opinion
was it.	Backchannel in Question Form
but then there are all these,	Uninterpretable
and i, i feel like their,	Uninterpretable
just hoping maybe, he could pull	Summarize/Reformulate
and, um, but	Uninterpretable
they believe that, if they kill somebody, you know, tit for tat and,  deed  for deed that,  that  does something, uh,	Statement-non-opinion
and so, uh, now i do, with the cosby show,	Uninterpretable
not too awful bad.	Appreciation
i have a friend now that has seven.	Statement-non-opinion
they were not hard are they?	Yes-No-Question
that's a good deal.	Appreciation
i've never seen,	Negative Non-no Answers
i, i mean, i'm, i'm a sports fan,	Affirmative Non-yes Answers
that sounds wonderful	Appreciation
ours didn't	Statement-non-opinion
uh, she has alzheimer's and does not remember, uh, a lot if anything.	Statement-non-opinion
because i, you know, if somebody has been convicted and has been sentenced to be put to death, how is it that they can appeal and appeal and appeal and get stays of execution?	Rhetorical-Question
oh, i follow the, uh, the cowboys	Other Answers
uh, do you find do you find you have much chance to read for, for just pleasure or mostly for business?	Yes-No-Question
or or are you, or are they some home distributing the funds back to you.	Or-Clause
there's just things,	Uninterpretable
what, what ones do you get into?	Wh-Question
i mean,  i,	Uninterpretable
you know  like, yeah,	Acknowledge (Backchannel)
is it like a hand held?	Yes-No-Question
oh, they,	Uninterpretable
you've  got something going all the time.	Appreciation
it just doesn't make sense to me.	Statement-opinion
have you been, uh, have you been the subject of such a crime, such as stealing, or anything?	Yes-No-Question
and that's what all these, you know, court cases are about.	Statement-opinion
it, it, you know,	Uninterpretable
and, uh, when was it,	Self-talk
maybe the, maybe they'll bring their good schools with them. you know,	Statement-opinion
did you, did you think that c n n, well, the gulf war coverage would be kind of, uh, an abnormality?	Yes-No-Question
well that's probably true	Agree/Accept
not always safe	Collaborative Completion
i think that the corporations should, uh, do all that.	Statement-opinion
did you crack the block or what?	Yes-No-Question
well, that's a good way to, to make a little extra money.	Appreciation
it was good to talk to,  to you too.	Conventional-closing
keep it there	Declarative Yes-No-Question
are you calling from texas, by the way?	Yes-No-Question
and he went and bought one of the low priced student tickets,	Statement-non-opinion
lynn, do you, do you want to start?	Yes-No-Question
i mean, their, they have, i think,	Uninterpretable
do you read, um,	Yes-No-Question
do you think that there should be some control, uh, innovated such that the doctors are not allowed to charge ridiculously over priced things.	Yes-No-Question
we'll have a freeze.	Quotation
well, penicillin's not on the list	Hedge
um, they, they were outside my marriage,	Hold Before Answer/Agreement
but, you know, i don't have enough time to do it to really, you know, take orders on it,	Statement-non-opinion
least not,	Uninterpretable
is it good education?	Rhetorical-Question
what did you think about that idea?	Wh-Question
i don't know if it's even true that it's always unanimous because i thought there were cases where, uh, i don't know if it's the difference between felonies and misdemeanors, but where it was okay for a state to have it like eleven out of twelve.	Other Answers
but i, you know, i,	Uninterpretable
and, uh, there is no, uh, uh,	Uninterpretable
oh, i've heard a little bit of it.	Dispreferred Answers
but anyhow, um, what have you seen?	Wh-Question
and, uh, and i don't know,	Hedge
i was trying to make a u turn	Statement-non-opinion
around there, huh.	Collaborative Completion
you lost your business?	Yes-No-Question
you know, so	Uninterpretable
what kind of crimes would you use it for?	Wh-Question
i enjoy softball,	Statement-non-opinion
well, he does	Affirmative Non-yes Answers
and that usually	Uninterpretable
have a lovely day.	Conventional-closing
and i'm actually sort of not, not, not really a zionist per se, you know.	Statement-non-opinion
homes,	Repeat-phrase
but, boy, i'll tell you what,	Other
but we're real happy with them.	Statement-non-opinion
i'm sure it is, because that's the way that i enjoy this pontiac that i have.	Statement-non-opinion
but i think i'd like it,	Negative Non-no Answers
so they put her in a home,	Statement-non-opinion
it's interesting, because when we cook here,	Uninterpretable
but gee,	Appreciation
actually, you know, my husband has run for office before	Dispreferred Answers
oh, what a clever idea	Appreciation
and, and for them that's wonderful, you know.	Statement-non-opinion
through the	Uninterpretable
have you been to any lately?	Yes-No-Question
and um, those that aren't,	Uninterpretable
so let's make it a good one.	Action-directive
we didn't have,	Statement-non-opinion
you could have taken something like that and thought, well, the compressor's not working. or it would have taken me all day probably if i didn't do that. but sometimes you have some dumb luck. if you have a little curiosity and you have enough knowledge to check things out.	Statement-opinion
and now we're looking at serious,	Uninterpretable
k u e n,	Declarative Yes-No-Question
that's how it is in new york isn't it.	Yes-No-Question
you, you've got to be able to get the two and three run home runs, you know, to, to be able to, uh, score enough runs to be able to win in these, uh, in this day and age,	Statement-opinion
and it just gets so dry	Statement-non-opinion
well, my, my real feeling about, about the purpose of undergraduate education is it's really the time,	Statement-opinion
on my house	Dispreferred Answers
wait	Action-directive
boring	Uninterpretable
this is college, college, okay	Repeat-phrase
i really would not have been totally staying home with a young child.	Statement-non-opinion
forget it,	Appreciation
uh, that's terrible.	Appreciation
you know, what, what, uh, what do you think is important?	Open-Question
that's critical, because she's in need of it so often.	Summarize/Reformulate
do you, have you used, um, student loans and things like that that were guaranteed by the government?	Yes-No-Question
you're talking about company's liability.	Declarative Yes-No-Question
and, right	Acknowledge (Backchannel)
program.	Collaborative Completion
oh, dances with wolves, have you seen that yet?	Yes-No-Question
it's, it's, it's,	Uninterpretable
from,	Uninterpretable
so a lot of times i won't get out and do it,	Statement-non-opinion
that's true, you know.	Appreciation
well, i really don't know.	Other Answers
drug test,	Repeat-phrase
one, one count.	Collaborative Completion
we went on vacation couple months ago,	Statement-non-opinion
in the summer or like in the easter time, like around now?	Yes-No-Question
but, uh, we're toward the bottom.	Statement-non-opinion
i like people, you know, those things that are about real people.	Statement-non-opinion
what country were you, uh, in europe when you were uh, uh?	Wh-Question
so unless you've got something else, well,	Declarative Yes-No-Question
and you don't ever touch it unless i'm here,	Quotation
so,  what is your, uh, family,	Wh-Question
and you, sir,	Conventional-closing
what do you presently drive?	Wh-Question
i was wondering what you do at t i.	Declarative Wh-Question
but i really like to have a mazda m p v van,	Dispreferred Answers
french, yeah.	Acknowledge (Backchannel)
everybody will say, oh, this is real simple,	Statement-non-opinion
um, i usually have parties that are smaller groups.	Dispreferred Answers
well that's right.	Agree/Accept
but you have to take into account, you know, with any computer program all the type of things people can do to you to make your program crash or things you normally don't consider.	Statement-non-opinion
you need metal instead of plastic.	Action-directive
background saying stephen did you start the	3rd-party-talk
so i certainly hope you have a nice new year.	Other
how is, how is apartment dwelling living in terms of general privacy and noise and things like that?	Wh-Question
don't let them watch it.	Action-directive
so that was, uh.	Uninterpretable
but, uh, uh, they're,	Uninterpretable
lexus is a toyota subbrand.	Summarize/Reformulate
much as other cultures disagree, our lives don't revolve around our children.	Statement-opinion
oh, i agree,	Agree/Accept
uh, i love to read, but i, you know, i don't have a lot of time to read an, you know, what reading i do, i kind of do because it's, you know, it's the necessary stuff	Affirmative Non-yes Answers
so, do you have any credit cards?	Yes-No-Question
which, what book have you read that is along those lines,  that  was really good?	Wh-Question
so what are your opinions on it?	Wh-Question
did you feel like you did a good job?	Quotation
do you go like home cooking, like black-eyed pea and that kind of thing or cafeteria?	Yes-No-Question
there, you know, there are,	Uninterpretable
well how do you think the royals are going to do?	Wh-Question
turned out they weren't cheeky.	Summarize/Reformulate
and, uh, the recipes that i've used,	Statement-non-opinion
oh, that's  too much trouble.	Quotation
um, are you from this area?	Yes-No-Question
i think that that's, um,	Uninterpretable
the man, uh, has a lot of good ideas,	Statement-non-opinion
but i have got a four month old baby,	Statement-non-opinion
and it, it, it, it's one of these statistical,	Uninterpretable
did you ever get to watch any of the, uh, new orleans games? um. *b	Yes-No-Question
and, and, uh, you know, um, did we make the right choices?	Rhetorical-Question
or do you keep it?	Yes-No-Question
what school system are you familiar with?	Wh-Question
shoot,	Appreciation
oh, they are,  are	Agree/Accept
we've, uh, i know i have, um,	Uninterpretable
you know, that's interesting	Appreciation
oprah	Acknowledge (Backchannel)
and in japan they would be, you know.	Statement-non-opinion
did they do that before you went in or what?	Yes-No-Question
well, very possibly.	Maybe/Accept-part
maybe it was in miami.	Hedge
but but it,	Uninterpretable
don't buy them that way	Collaborative Completion
thomas?	Declarative Yes-No-Question
i enjoy playing tennis,	Statement-non-opinion
what else have i seen.	Self-talk
you still there?	Yes-No-Question
um, but benefits,	Uninterpretable
don't get me to lying.	Action-directive
i guess you	Uninterpretable
i really tried to think of some other things	Statement-non-opinion
well, that's efficient.	Appreciation
oh, there you go,	Appreciation
it would be pretty.	Appreciation
it was the big one.	Summarize/Reformulate
he's in here somewhere,	Quotation
and he just doesn't take care of things	Statement-non-opinion
to and, uh, let's see,	Hold Before Answer/Agreement
if you compound that, that, uh, eh,	Uninterpretable
texas is not one of them see.	Negative Non-no Answers
it wouldn't be any kind of special, um, special effects type thing.	Statement-non-opinion
and coming from the north east, i'm just not used to seeing, um, these,	Statement-non-opinion
i mean, it seems like	Uninterpretable
i think he won cy year, uh, two out of three years,	Statement-non-opinion
and our kids are,	Uninterpretable
even in our prison systems they're finding that they're, they're having drugs smuggled into them.	Statement-opinion
but, uh, i certainly, um, have that rather than trial by jury.	Uninterpretable
so that's  their activity thing. to  go out there and crush.	Statement-non-opinion
so you've got,	Uninterpretable
that's why you why you're making these calls, right?	Yes-No-Question
oh they do?	Yes-No-Question
they've got,	Uninterpretable
talking about mailing lists, the	Uninterpretable
but when i went home that's all, like, they had on t v	Statement-non-opinion
uh, kate, what kind of, uh, where do you like to eat out?	Wh-Question
and i think, think that's another reason why people are, uh, so health conscious now is because america's becoming really a couch potato society.	Statement-opinion
oh, i bet the black one's pretty.	Declarative Yes-No-Question
you know, that is really a tough one for me to answer.	Hold Before Answer/Agreement
and if it,	Uninterpretable
he  , he refuted it,	Reject
she had crocheted a full bedspread.	Statement-non-opinion
do you know if they have child care there?	Yes-No-Question
it's not good	Appreciation
and he's, you know,	Uninterpretable
to get over a,	Uninterpretable
and they're not, um, high strung or over bred um.	Statement-non-opinion
do you see hoosiers?	Yes-No-Question
oh, didn't you.	Acknowledge (Backchannel)
they're going to get better.	Statement-opinion
step classes?	Signal-non-understanding
just in what we see	Uninterpretable
and  she says it is just really frightening how easy it is to, you know, have the prisons release people because they're overcrowded.	Statement-non-opinion
i've done it	Quotation
i, i absorbed all of that movie in one sitting.	Statement-non-opinion
do, are, do you have school age kids	Yes-No-Question
and, uh,  i read sporadically of commentary and a couple of other, you know, trade magazines, and, uh, uh, such as that, uh, where i might read the, the occasional social and even current event commentaries, and, and everything as diverse as a c m to, uh, uh, some of the, uh, some of the other tabloids i get.	Statement-non-opinion
you, did all five of yours complete college?	Yes-No-Question
so what was, what was the other question,	Wh-Question
well look at what we're talking now,	Action-directive
gorbachev said you can't do it,	Quotation
how do you feel about public schools?	Open-Question
all you	Uninterpretable
i enjoy the beach.	Statement-non-opinion
like i've,	Uninterpretable
like we had apartments before we had homes.	Statement-non-opinion
well, other than i need to go.	Other
well, uh, no	No Answers
like send stuff in the mail or have it at the library	Yes-No-Question
but, uh, you know, we have, uh, well,	Uninterpretable
now what are they supposed to do?	Wh-Question
keep the weather radio close by and stuff like that?	Declarative Yes-No-Question
i think plano, don't they have some,	Declarative Yes-No-Question
oh, gee	Appreciation
it's just as boring.	Statement-non-opinion
but let's go to war praying,	Quotation
no, um.	Acknowledge (Backchannel)
and then they have to be retried and all that.	Statement-non-opinion
money  instead.	Repeat-phrase
or okay,	Other
now, does your husband usually go with you, then?	Yes-No-Question
oh. i'm  jealous.	Appreciation
and everyone will know it and and hum it	Quotation
and it just kind of, it kind of separated it.	Statement-non-opinion
and then you get to eat everything afterwards,	Statement-non-opinion
and their economy is,	Uninterpretable
and your wife's folks still live in colorado?	Declarative Yes-No-Question
and so  ...	Uninterpretable
now, what do you mostly do	Open-Question
and, uh, anyhow, uh, you take, uh, a couple of, uh, cups of bisquick and, uh, sausage, oh, like a, a owens mild,	Action-directive
so you're an american	Summarize/Reformulate
have you seen the movie class action with gene hackman?	Yes-No-Question
you know  will then  people go to private schools?	Rhetorical-Question
and, uh, they've got a new, uh,	Uninterpretable
a little bit warm and a little bit blowy, i think.	Statement-opinion
and she could go to sleep at two in the morning you know	Statement-non-opinion
or let me see,	Hold Before Answer/Agreement
well, did, um, were you able to get one while you're in college?	Yes-No-Question
well, you know, you, you got, you got that point well, you know, what, what if a mistake is made and you put someone, you know, to death that really didn't do it.	Rhetorical-Question
you know, we,	Uninterpretable
and,  and that's exceedingly expensive.	Statement-opinion
or, you know	Uninterpretable
that's what i like to make is just real neat stuff like that	Statement-non-opinion
now when you baby-sit, what age group children do you sit with?	Wh-Question
that's really wild.	Appreciation
i watch, uh, huh.	Uninterpretable
and then he plants about a quarter of an acre of sweet corn for me to use,	Statement-non-opinion
i must have got the other line cut off.	Statement-non-opinion
are, are you a t i-er?	Yes-No-Question
but, but yes,	Yes Answers
well, i, i really did enjoy it, uh, you know,	Statement-non-opinion
and some of the,	Uninterpretable
my view of uh,	Uninterpretable
so what's the prevailing thought within the community?	Wh-Question
oh i know.	Agree/Accept
oh that sounds interesting.	Appreciation
adapt.	Summarize/Reformulate
oh, i bet that helps.	Appreciation
so have you got a pet.	Yes-No-Question
i'm up to twenty.	Conventional-closing
he has an incredible leg.	Statement-opinion
and you're in minneapolis,	Declarative Yes-No-Question
or does it stay in the bad neighborhoods?	Or-Clause
now,  have you ever been to a professional football game?	Yes-No-Question
you're talking about the vibration dampener?	Declarative Yes-No-Question
i don't know if t i has lost as much as everybody else,	Hedge
well i work for an insurance company	Hold Before Answer/Agreement
so, we decided to try it because prior to that all we got were things like glamour or sports illustrated.	Statement-non-opinion
so that will be an interesting turn on vacations for our family.	Statement-non-opinion
but until then,	Uninterpretable
so that's all they work on.	Statement-non-opinion
you kind of try  and buy bigger quantities.	Summarize/Reformulate
i kept waiting for,	Uninterpretable
eventually	Agree/Accept
like if you bought a power book straight off, a lot of them had to go back.	Statement-non-opinion
that's, that's it a lot of the time.	Agree/Accept
and you know, you're just,	Uninterpretable
they're  supposed to do what we say,	Statement-opinion
do they car pool in?	Yes-No-Question
i think it could affect the outcome, you know, could make it unfair.	Statement-opinion
now that's the texins facility?	Declarative Yes-No-Question
sorry about that	Apology
well, they're brooklyn boys, i guess.	Declarative Yes-No-Question
but it's kind of it's,	Uninterpretable
oh, cute.	Appreciation
and you can just tell in their personalities and how they respond to the adults that, uh, the ones that are, are home and the ones even that are at home that are getting the love and attention that they need.	Statement-opinion
well, you know, going over the hills, you know, coming into the valley?	Yes-No-Question
you have a,	Uninterpretable
but then what movie isn't anymore.	Rhetorical-Question
uh, some things they do, one of them is they're using corn in fuel.	Statement-non-opinion
that's great that he has a lot of hobbies and stuff.	Statement-opinion
and we've, i had,	Uninterpretable
on any given day, they say.	Other
do you know anyone that, uh, is, is in a nursing home or has ever been in one?	Yes-No-Question
how old is the car?	Wh-Question
um, what kind of, what kind of,	Wh-Question
that's, that's quite a chore.	Statement-opinion
really producing.	Collaborative Completion
you didn't get any government classes?	Yes-No-Question
most of yours is kind of driving	Summarize/Reformulate
your, your buying large , uh,	Uninterpretable
they're always saying that somebody's going to,	Statement-non-opinion
does your son work for t i?	Yes-No-Question
i'll let you go ahead and start, yeah. of that kind of stuff	Agree/Accept
that's what i heard, too.	Statement-non-opinion
christopher reeve or mike douglas.	Yes-No-Question
i wonder if they really,	Uninterpretable
you know, being that i'm not in the, that area i really don't know.	Statement-non-opinion
what, how crazy?	Wh-Question
lord.	Appreciation
uh, i, i've, i've tried a few groups, uh, you know, where you,	Statement-non-opinion
or just never said anything.	Or-Clause
i think we should have stayed and kind of helped the people in iraq out now because it's kind of like a civil war going on now.	Statement-opinion
so you've received a lot of, uh, flack?	Yes-No-Question
to have it out of the way.	Collaborative Completion
cliff, i see,	Repeat-phrase
it's not worth it.	Quotation
and like i said, i think you have to pay for it no matter what you do you with it, because it's industry.	Statement-opinion
is it just instrumental?	Yes-No-Question
hang on a minute.	Action-directive
but nobody had identified it	Statement-non-opinion
there's no restriction though.	Collaborative Completion
or, uh, do you belong to a group?	Or-Clause
will they make it through the summer sun?	Yes-No-Question
there's, there is,	Uninterpretable
he did,	Agree/Accept
or it was	Or-Clause
and for awhile i didn't read a newspaper when i came out here because i didn't find one that i liked.	Statement-non-opinion
well, i know in, um,	Uninterpretable
well, how nice,	Appreciation
right next to  village green,	Statement-non-opinion
so interesting political trends or events, huh?	Declarative Yes-No-Question
so have you had the opportunity to drive a ferrari?	Yes-No-Question
so people can just tape them i guess,  you  know	Summarize/Reformulate
would that, would it have been too much of a price to pay for that?	Rhetorical-Question
but, you know, don't pick him up and,  and  this sort of stuff.	Statement-non-opinion
because, um,	Uninterpretable
do you think this is vital important?	Yes-No-Question
do you, uh, stay overnight on the way,	Yes-No-Question
